Year	Entrant	Chassis	Engine	Points
1970	Gold Leaf Team Lotus	Lotus 72C	Cosworth V8	4
1971	Gold Leaf Team Lotus	Lotus 72C	Cosworth V8	9
1971	Gold Leaf Team Lotus	Lotus 72D	Cosworth V8	9
1971	Gold Leaf Team Lotus	Lotus 56B	Pratt & Whitney Turbine	9
1972	Marlboro BRM	BRM P153	BRM V12	0
1972	Marlboro BRM	BRM P160B	BRM V12	0
1972	Marlboro BRM	BRM P160C	BRM V12	0
1972	John Player Team Lotus	Lotus 72D	Cosworth V8	0
1973	Team Pierre Robert	March 731	Cosworth V8	0
1973	Clarke-Mordaunt- Guthrie-Durlacher	March 721G/731	Cosworth V8	0
1974	March Engineering	March 741	Cosworth V8	0
