Incident No.	Date	Place	Killed	Injured
1	9 January	Sundergarh, Odfisha	0	0
2	12 January	West Midnapore, West Bengal	0	0
3	14 January	Gadchiroli, Maharashtra	0	0
4	18 January	West Midnapore, West Bengal	1	0
5	26 January	Palamau, Jharkhand	0	0
6	1 February	Jamui, Bihar	0	0
7	7 February	Gaya, Bihar	0	0
8	10 February	Muzaffarpur, Bihar	0	0
9	12 February	Garhwa, Jharkhand	0	0
10	13 February	Palamau, Jharkhand	0	0
11	14 February	Gaya, Bihar	0	0
12	18 February	Saran, Bihar	0	0
13	26 February	Kaimur, Bihar	0	0
14	1 March	Jamui, Bihar	0	0
15	1 March	Jamui, Bihar	0	0
16	4 March	Muzaffarpur, Bihar	0	0
17	7 March	West Midnapore, West Bengal	1	0
18	13 March	East Champaran, Bihar	6	1
19	14 March	Gaya, Bihar	0	0
20	16 March	Gaya, Bihar	0	0
21	17 March	Gaya, Bihar	0	1
22	24 March	Aurangabad, Bihar	0	0
23	25 March	Gaya, Bihar	0	0
24	16 April	Surguja, Chhattisgarh	0	0
25	3 May	Lohardaga, Jharkhand	11	40
26	3 May	Bokaro, Jharkhand	0	0
27	5 May	Malkangiri, Odisha	0	0
28	6 May	Malkangiri, Odisha	0	0
29	13 May	Rohtas, Bihar	0	0
30	14 May	Hazaribagh, Jharkhand	0	1
31	31 May	Rohtas, Bihar	0	0
32	3 June	Gaya, Bihar	0	0
33	6 June	Chatra, Jharkhand	0	0
34	11 June	Dantewada, Chhattisgarh	13	0
35	16 June	Gaya, Bihar	0	0
36	16 June	Gaya, Bihar	0	0
37	16 June	Jehanabad, Bihar	0	0
38	16 June	Dantewada, Chhattisgarh	0	0
39	16 June	Garhwa, Jharkhand	0	0
40	17 June	Latehar, Jharkhand	0	0
41	20 June	Bokaro, Jharkhand	1	3
42	26 June	Kanker, Chhattisgarh	3	0
43	1 July	Munger, Bihar	6	0
44	1 July	Lohardaga, Jharkhand	0	0
45	5 July	Malkangiri, Odisha	0	0
46	7 July	Rayagada, Odisha	2	0
47	15 July	Jamui, Bihar	0	0
48	30 July	Rohtas, Bihar	3	0
49	31 July	Malkangiri, Odisha	0	0
50	2 September	Banka, Bihar	1	2
51	5 October	Rajnandgaon, Chhattisgarh	0	0
52	9 October	Aurangabad, Bihar	0	0
53	14 October	Gondia, Maharashtra	0	6
54	8 November	Gaya, Bihar	0	0
55	24 November	West Midnapore, West Bengal	4	0
56	27 November	Gadchiroli, Maharashtra	0	0
57	29 November	Gadchiroli, Maharashtra	0	0
58	5 December	Aurangabad, Bihar	0	0
59	5 December	??alamau, Jharkhand	0	0
60	5 December	Bargarh, Odisha	0	0
61	9 December	Jamui, Bihar	0	0
62	14 December	Malkangiri, Odisha	0	0
63	15 December	Gaya, Bihar	0	0
64	15 December	Latehar, Jharkhand	0	0
65	16 December	Khammam, Andhra Pradesh	0	0
66	22 December	Gaya, Bihar	0	0
67	27 December	Dantewada, Chhattisgarh	0	0
Total	Total	Total	52	54
