English Name	Simplified	Traditional	Pinyin	Area	Population	Density
English Name	Simplified	Traditional	Pinyin	Area	Population	Density
Xingshan District	兴山区	興山區	Xīngshān Qū	27	44,803	1,659
Xiangyang District	向阳区	向陽區	Xiàngyáng Qū	9	110,916	12,324
Gongnong District	工农区	工農區	Gōngnóng Qū	11	140,070	12,734
Nanshan District	南山区	南山區	Nánshān Qū	30	119,047	3,968
Xing'an District	兴安区	興安區	Xīng'ān Qū	27	74,396	2,755
Dongshan District	东山区	東山區	Dōngshān Qū	4,575	175,239	38
Luobei County	萝北县	蘿北縣	Luóběi Xiàn	6,761	220,131	33
Suibin County	绥滨县	綏濱縣	Suíbīn Xiàn	3,344	174,063	52
