Place	Player	Country	Score	To par	Money ( $ )
1	Bernhard Langer	West Germany	72-74-68-68=282	–6	126,000
T2	Seve Ballesteros	Spain	72-71-71-70=284	–4	52,267
T2	Raymond Floyd	United States	70-73-69-72=284	–4	52,267
T2	Curtis Strange	United States	80-65-68-71=284	–4	52,267
5	Jay Haas	United States	73-73-72-67=285	–3	28,000
T6	Gary Hallberg	United States	68-73-75-70=286	–2	22,663
T6	Bruce Lietzke	United States	72-71-73-70=286	–2	22,663
T6	Jack Nicklaus	United States	71-74-72-69=286	–2	22,663
T6	Craig Stadler	United States	73-67-76-70=286	–2	22,663
T10	Fred Couples	United States	75-73-69-70=287	–1	16,800
T10	David Graham	Australia	74-71-71-71=287	–1	16,800
T10	Lee Trevino	United States	70-73-72-72=287	–1	16,800
T10	Tom Watson	United States	69-71-75-72=287	–1	16,800
