Name	Place of Birth	Date of Birth	Club Apps.	Club Goals	Int. Caps	Int. Goals	Previous Club	Date Joined	End 1
Peter Enckelman	Turku	10 March 1977	20	0	12	0	Blackburn Rovers	18 July 2008	2010
Kevin McNaughton	Dundee	28 August 1982	87	3	4	0	Aberdeen	26 May 2006	2011
Tony Capaldi	Porsgrunn	12 August 1981	54	0	21	0	Plymouth Argyle	25 May 2007	2010
Gavin Rae	Aberdeen	28 November 1977	55	4	14	0	Rangers	23 June 2007	2010
Darren Purse	Stepney	14 February 1977	99	12	–	–	West Bromwich Albion	28 July 2005	2009
Gábor Gyepes	Budapest	26 June 1981	–	–	23	1	Northampton Town	19 August 2008	2013
Peter Whittingham	Nuneaton	8 September 1984	70	13	–	–	Aston Villa	11 January 2007	2011
Jay Bothroyd	London	5 May 1982	–	–	–	–	Wolverhampton Wanderers	4 August 2008	2011
Eddie Johnson	Bunnell	31 March 1984	–	–	42	12	Fulham	22 August 2008	2009
Stephen McPhail	London	9 December 1979	97	3	10	1	Barnsley	13 June 2006	2011
Paul Parry	Chepstow	19 August 1980	168	23	12	1	Hereford United	9 January 2004	2011
Roger Johnson	Ashford	28 April 1987	85	9	–	–	Wycombe Wanderers	4 July 2006	2012
Tom Heaton	Chester	15 April 1986	–	–	–	–	Manchester United	23 May 2008	2009
Quincy Owusu-Abeyie	Amsterdam	15 April 1986	–	–	5	1	Spartak Moscow	31 January 2009	2009
Miguel Comminges	Les Abymes	16 March 1982	–	–	5	0	Swindon Town	1 May 2007	2010
Joe Ledley	Cardiff	23 January 1987	174	21	16	1	N/A	1 June 2004	2010
Darren Dennehy	Count Kerry	21 September 1988	–	–	–	–	Everton	28 June 2008	2010
Michael Chopra	Newcastle upon Tyne	23 December 1983	44	22	–	–	Sunderland	6 November 2008	2009
Riccardo Scimeca	Leamington Spa	13 June 1975	66	6	–	–	West Bromwich Albion	13 January 2006	2009
Stuart Taylor	Romford	28 November 1980	–	–	–	–	Aston Villa	13 March 2009	2009
Mark Kennedy	Dublin	15 May 1976	–	–	34	4	Crystal Palace	10 July 2008	2010
Dimitrios Konstantopoulos	Thessaloniki	29 November 1978	–	–	–	–	Coventry City	9 February 2009	2009
Darcy Blake	New Tredegar	13 December 1988	27	0	–	–	N/A	8 November 2006	2011
Erwin Sak	Lublin	15 February 1990	–	–	–	–	Sokół Pniewy	19 February 2008	2009
Jonathan Brown	Bridgend	17 April 1990	4	1	–	–	N/A	1 June 2007	2009
Chris Burke	Glasgow	2 December 1983	–	–	2	2	Rangers	9 January 2009	2011
Adam Matthews	Swansea	13 January 1992	–	–	–	–	N/A	14 January 2009	2011
Aaron Morris	Cardiff	30 December 1989	2	0	–	–	N/A	1 June 2007	2010
Ross McCormack	Glasgow	18 August 1986	–	–	1	0	Motherwell	28 June 2008	2010
