Pennant	Name	Builder	Laid down	Launched	Commissioned	Fate
F 765	Le Normand	F C de la Méditerranèe	July 1953	13 February 1954	3 November 1956	Stricken 1980
F 766	Le Picard	A C de la Loire	November 1953	31 May 1954	20 September 1956	Stricken 1979
F 767	Le Gascon	A C de la Loire	February 1954	23 October 1954	29 March 1957	Stricken 1977
F 768	Le Lorrain	F C de la Méditerranèe	February 1954	19 June 1954	1 January 1957	Broken Up 1981
F 769	Le Bourguignon	Penhöet	January 1954	28 January 1956	11 July 1957	Stricken 1976
F 770	Le Champenois	A C de la Loire	May 1954	12 March 1955	1 June 1957	Stricken 1975
F 771	Le Savoyard	F C de la Méditerranèe	November 1953	7 May 1955	14 June 1956	Stricken 1980
F 772	Le Breton	Arsenal de Lorient	June 1954	2 April 1955	20 August 1957	Stricken 1977
F 773	Le Basque	Arsenal de Lorient	December 1954	25 February 1956	18 October 1957	Stricken 1980
F 774	Le Agenais	Arsenal de Lorient	August 1955	23 June 1956	14 May 1958	Stricken 1985
F 775	Le Bearnais	Arsenal de Lorient	December 1955	23 June 1956	14 October 1958	Stricken 1980
F 776	L'Alsacien	Arsenal de Lorient	July 1956	26 January 1957	27 August 1960	Stricken 1981
F 777	Le Provençal	Arsenal de Lorient	February 1957	5 October 1957	6 November 1960	Stricken 1980
