Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Tabak, Zan Zan Tabak	55	7-0	Center	1994-95	Croatia
Taylor, Jeff Jeff Taylor	13	6-3	Guard	1982-83	Texas Tech
Taylor, Jermaine Jermaine Taylor	8	6-4	Guard	2009-11	Central Florida
Taylor, Maurice Maurice Taylor	2	6-9	Forward	2000-05	Michigan
Teagle, Terry Terry Teagle	10, 20	6-6	Guard	1982-84, 1993	Baylor
Temple, Garrett Garrett Temple	2	6-6	Guard	2010	Louisiana State
Thabeet, Hasheem Hasheem Thabeet	32	7-3	Center	2011-2012	University of Connecticut
Thomas, Kenny Kenny Thomas	21	6-7	Forward	1999-2002	New Mexico
Thompson, Bernard Bernard Thompson	25	6-6	Guard	1988-89	Fresno State
Thorpe, Otis Otis Thorpe	33	6-10	Forward	1988-94	Providence
Threatt, Sedale Sedale Threatt	2	6-2	Guard	1996-97	West Virginia Tech
Tomjanovich, Rudy Rudy Tomjanovich	45*	6-8	Forward	1970-81	Michigan
Torres, Oscar Oscar Torres	18	6-6	Guard / Forward	2001-02	Venezuela
Trapp, John John Trapp	31	6-7	Forward	1968-71	UNLV
Tsakalidis, Jake Jake Tsakalidis	25	7-2	Center	2007	Greece
Turner, Andre Andre Turner	13	5-11	Guard	1987	Memphis State
