Film title	Director	Writer	Voiced character(s)	Producer/Executive Producer	Sound
Toy Story	JL	JL, JhR, PD, AS	JdR, JhR, JeP, AS	RG, BA, EC, SJ	GR
A Bug's Life	JL	JL, JhR, AS	JL, AS, JdR	DKA, KR	GR
Toy Story 2	JL	JL, PD, AS	JdR, JL, JhR, JeP, AS, LU	JhR, JeP, JaK, BP, JaP, JoK, BL	GR
Monsters, Inc.	PD	JeP, DG, PD, RE, AS	JdR, JhR, JeP, DG, PD, GQ, LU	DKA, JL, AS	GR, TM
Finding Nemo	AS	BP, AS	JdR, JhR, BP, AS, LU	JL	GR
The Incredibles	BB	BB	JdR, JhR, BB, JeP, TN, LR, PD, BP, AS, BL, PS	JW, JL	RT
Cars	JL	JL, JhR, BC, JK	JdR, JhR, DS, TN, LR, BP, AS, GQ	DKA	TM
Ratatouille	BB	BB, JaP	JdR, BB, TN, LR, PS	JL, AS	RT
WALL-E	AS	AS	JdR	JL, PD	BeBu
Up	PD	BC, GR	JdR, PD, BP	JL, AS	TM
Toy Story 3	LU	MA, JL, AS, LU	JdR, TN, BL, LU	DKA, JL	TM
Cars 2	JL	JL, BL	JdR, JL, BL, GQ	DR	TM
Brave	MA	BC	JdR	KS, JL, AS, PD	GR, EJH
Monsters University	DS	DG, RLB, DS	JdR	KR, JL	TM
