Rank	Building Name	Street address	Height feet (meters)	Floors	Completed
1	Kettering Tower	40 N. Main Street	405 (124)	30	1970
2	KeyBank Tower	10 W. Second Street	385 (117)	28	1976
3	Fifth Third Center	1 S. Main Street	336 (102)	20	1989
4	40 West 4th Centre	40 W. Fourth Street	331 (101)	22	1969
5	110 N. Main Street	110 N. Main Street	328 (100)	20	1989
6	Liberty Tower	120 W. Second Street	295 (90)	23	1931
7	130 West Second Street	130 W. Second Street	290 (88)	21	1972
8	Centre City Building	40 S. Main Street	274 (84)	21	1904
9	Landing Apartments	316 N. Wilkinson Street	251 (77)	13	1929
10	Miami Valley Hospital Southeast Tower	45 Wyoming Street	246 (75)	12	2010
11	Schuster Performing Arts Center	109 N. Main Street	224 (68)	17	2003
12	Talbott Tower	131 N. Ludlow Street	203 (62)	14	1958
13	Montgomery County Administration Building	451 W. Third Street	196 (60)	12	1972
14	Biltmore Towers	210 N. Main Street	182 (55)	16	1929
15=	Wright Stop Plaza	4 S. Main Street	175 (53)	14	1901
15=	AT&T Building	215 W. Second Street	175 (53)	11	1930
16	Wilkinson Plaza Apartments	126 W. Fifth Street	168 (51)	14	1974
17	Courthouse Plaza South West	10 N. Ludlow Street	167 (51)	12	1978
18	CareSource Building	203 N. Main Street	162 (49)	9	2008
19	Paru Tower	32 N. Main Street	161 (49)	14	1924
20	Reibold Building	117 S. Main Street	155 (47)	11	1896
