Country	OF-5	OF-4	OF-2	OF-1
Albania	Kolonel	Nënkolonel	Kapiten	Toger
Argentina	Comodoro	Vicecomodoro	Capitán	Primer Teniente
Australia	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
Belarus	Polkovnik	Podpolkovnik	Kapitan	Starshiyleytenant
Belgium	Kolonel Colonel	Luitenant-kolonel Lieutenant-colonel	Kapitein Capitaine	Luitenant Lieutenant
Brazil	Coronel	Tenente-Coronel	Capitão	Primeiro-Tenente
Canada (modern)	Colonel Colonel	Lieutenant-Colonel Lieutenant-Colonel	Captain Capitaine	Lieutenant Lieutenant
Canada (1920s to 1960s)	Group Captain Colonel d'aviation	Wing Commander Lieutenant-colonel d'aviation	Flight Lieutenant Capitaine d'aviation	Flying Officer Lieutenant d'aviation
Chile	Coronel de Aviación	Comandante de Grupo	Capitan de Bandada	Teniente
China	Kongjun Shang Xiao 空军上校	Kongjun Zhong Xiao 空军中校	Kongjun Shang Wei 空军上尉	Kongjun Zhong Wei 空军中尉
Croatia	Brigadir	Pukovnik	Satnik	Nadporučnik
Denmark	Oberst	Oberst Løjtnant	Kaptajn	Premierløjtnant
Finland	Eversti	Everstiluutnantti	Kapteeni	Yliluutnantti Luutnantti
France	Colonel	Lieutenant-Colonel	Capitaine	Lieutenant
Germany	Oberst	Oberstleutnant	Stabshauptmann Hauptmann	Oberleutnant
Ghana	Group Captain	Wing Commander	Flight Lieutenant	Air Lieutenant
India	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
Indonesia	Kolonel	Letnan Kolonel	Kapten	Letnan Satu
Israel	Aluf mishne	Sgan aluf	Seren	Segen
Latvia	Pulkvedis	Pulkvežleitnants	Kapteinis	Virslietnants
Malaysia	Kolonel	Leftenan Kolonel	Kapten	Leftenan
México	Coronel	Teniente Coronel	Capitán Primero	Capitán Segundo
New Zealand	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
Nigeria	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
Philippines	Colonel	Lieutenant Colonel	Captain	1st Lieutenant
Poland	Pułkownik	Podpułkownik	Kapitan	Porucznik
Romania	Comandor	Căpitan-comandor	Căpitan	Locotenent
Russia	Polkovnik	Podpolkovnik	Kapitan	Starshiyleytenant
Slovakia	Plukovník	Podplukovník	Kapitán	Poručík
Spain	Coronel	Teniente Coronel	Capitán	Teniente
Sri Lanka	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
Sweden	Överste 1. graden³ Överste	Överstelöjtnant	Kapten	Löjtnant
Thailand	Nawa Akat Ek (Group Captain)	Nawa Akat Tho (Wing Commander)	Ruea Akat Ek (Flight Lieutenant)	Ruea Akat Tho (Flying Officer)
Turkey	Albay	Yarbay	Yüzbaşı	Üsteğmen
United Kingdom	Group Captain	Wing Commander	Flight Lieutenant	Flying Officer
United States	Colonel	Lieutenant Colonel	Captain	1st Lieutenant
Zimbabwe	Group Captain	Wing Commander	Flight Lieutenant	Air Lieutenant
