Year (Ceremony)	Film title used in nomination	Original title	Language(s)	Director	Result
1961 (34th)	The Shadows Grow Longer	Die Schatten werden länger	German	Ladislao Vajda Category:Articles with hCards	Not Nominated
1970 (43rd)	First Love	Erste Liebe	German	Maximilian Schell Category:Articles with hCards	Nominee
1972 (45th)	La Salamandre	La Salamandre	French	Alain Tanner Category:Articles with hCards	Not Nominated
1973 (46th)	L'Invitation	L'Invitation	French	Claude Goretta Category:Articles with hCards	Nominee
1974 (47th)	The Middle of the World	Le Milieu du monde	French	Alain Tanner Category:Articles with hCards	Not Nominated
1975 (48th)	Confrontation	Konfrontation	Swiss German	Rolf Lyssy Category:Articles with hCards	Not Nominated
1976 (49th)	Jonah Who Will Be 25 in the Year 2000	Jonas qui aura 25 ans en l'an 2000	French	Alain Tanner Category:Articles with hCards	Not Nominated
1979 (52nd)	Les petites fugues	Les petites fugues	French	Yves Yersin Category:Articles with hCards	Not Nominated
1980 (53rd)	Every Man for Himself	Sauve qui peut (la vie)	French	Jean-Luc Godard Category:Articles with hCards	Not Nominated
1981 (54th)	The Boat Is Full	Das Boot ist Voll	German	Markus Imhoof Category:Articles with hCards	Nominee
1982 (55th)	Yol	Yol	Turkish	Şerif Gören Category:Articles with hCards	Not Nominated
1983 (56th)	In the White City	Dans la ville blanche	French	Alain Tanner Category:Articles with hCards	Not Nominated
1984 (57th)	Dangerous Moves	La Diagonale du fou	French	Richard Dembo Category:Articles with hCards	Won Academy Award
1985 (58th)	High Fire	Höhenfeuer	Swiss German	Fredi Murer Category:Articles with hCards	Not Nominated
1986 (59th)	Tanner	Der Schwarze Tanner	Swiss German	Xavier Koller Category:Articles with hCards	Not Nominated
1987 (60th)	If the Sun Never Returns	Si le soleil ne revenait pas	French	Claude Goretta Category:Articles with hCards	Not Nominated
1989 (62nd)	My Favorite Story	Mon cher sujet	French	Anne-Marie Miéville Category:Articles with hCards	Not Nominated
1990 (63rd)	Journey of Hope	Reise der Hoffnung	Turkish	Xavier Koller Category:Articles with hCards	Won Academy Award
1991 (64th)	Der Berg	Der Berg	German	Markus Imhoof Category:Articles with hCards	Not Nominated
1992 (65th)	Off Season	Hors Saison	French	Daniel Schmid Category:Articles with hCards	Not Nominated
1993 (66th)	Le Journal de Lady M	Le Journal de Lady M	French	Alain Tanner Category:Articles with hCards	Not Nominated
1994 (67th)	Three Colors: Red	Trois Couleurs: Rouge	French	Krzysztof Kieslowski Category:Articles with hCards	Disqualified
1995 (68th)	Adultère, mode d'emploi	Adultère, mode d'emploi	French	Christine Pascal Category:Articles with hCards	Not Nominated
1996 (69th)	Les Agneaux	Les Agneaux	French	Marcel Schupbach Category:Articles with hCards	Not Nominated
1997 (70th)	For Ever Mozart	For Ever Mozart	French	Jean-Luc Godard Category:Articles with hCards	Not Nominated
1998 (71st)	La Guerre dans le Haut Pays	La Guerre Dans le Haut Pays	French	Francis Reusser Category:Articles with hCards	Not Nominated
1999 (72nd)	Beresina, or The Last Days of Switzerland	Beresina oder Die letzten Tage der Schweiz	Swiss German	Daniel Schmid Category:Articles with hCards	Not Nominated
2000 (73rd)	Gripsholm	Gripsholm	German	Xavier Koller Category:Articles with hCards	Not Nominated
2001 (74th)	In Praise of Love	Éloge de l'amour	French	Jean-Luc Godard Category:Articles with hCards	Not Nominated
2002 (75th)	Aime ton père	Aime ton père	French	Jacob Berger Category:Articles with hCards	Not Nominated
2004 (77th)	Mein Name Ist Bach	Mein Name Ist Bach	German	Dominique de Rivaz Category:Articles with hCards	Not Nominated
2005 (78th)	Tout un Hiver sans Feu	Tout un Hiver sans Feu	French	Greg Zglinski Category:Articles with hCards	Not Nominated
2006 (79th)	Vitus	Vitus	Swiss German	Fredi Murer Category:Articles with hCards	Made January Shortlist
2007 (80th)	Late Bloomers	Die Herbstzeitlosen	Swiss German	Bettina Oberli Category:Articles with hCards	Not Nominated
2008 (81st)	The Friend	Der Freund	Swiss German	Micha Lewinsky Category:Articles with hCards	Not Nominated
2009 (82nd)	Home	Home	French	Ursula Meier Category:Articles with hCards	Not Nominated
2011 (84th)	Summer Games	Giochi d'estate	Italian	Rolando Colla Category:Articles with hCards	Not Nominated
2012 (85th)	Sister	L'Enfant d'en haut	French	Ursula Meier Category:Articles with hCards	Made January Shortlist
