Heat	Lane	Name	Nationality	Time
7	4	Inge de Bruijn	Netherlands	57.60
5	4	Jenny Thompson	United States	57.66
7	5	Petria Thomas	Australia	58.52
7	3	Otylia Jędrzejczak	Poland	58.66
6	4	Dara Torres	United States	58.76
6	5	Martina Moravcová	Slovakia	58.95
5	3	Junko Onishi	Japan	59.11
6	6	Mette Jacobsen	Denmark	59.45
5	5	Susie O'Neill	Australia	59.49
7	8	Natalya Sutyagina	Russia	59.50
6	3	Johanna Sjöberg	Sweden	59.59
5	7	Franziska van Almsick	Germany	59.72
6	7	Diana Mocanu	Romania	59.72
4	3	Sophia Skou	Denmark	59.79
5	6	Anna-Karin Kammerling	Sweden	59.88
7	7	Mandy Loots	South Africa	59.94
6	1	Cécile Jeanson	France	59.96
6	2	Liu Limin	China	59.98
7	2	Vered Borochovski	Israel	1:00.34
4	4	Jen Button	Canada	1:00.83
5	8	Jessica Deglau	Canada	1:00.97
7	6	Maki Mita	Japan	1:00.97
4	7	Fabienne Dufour	Belgium	1:01.15
4	8	Orsolya Ferenczy	Hungary	1:01.15
7	1	Ruan Yi	China	1:01.16
6	8	Joscelin Yeo	Singapore	1:01.28
5	2	Daniela Samulski	Germany	1:01.31
4	6	Renate du Plessis	South Africa	1:01.32
4	5	María Peláez	Spain	1:01.47
4	2	Margaretha Pedder	Great Britain	1:01.53
5	1	Yekaterina Vinogradova	Russia	1:01.54
3	3	Maria Papadopoulou	Cyprus	1:01.64
4	1	Marja Pärssinen	Finland	1:01.94
3	5	Zampia Melachroinou	Greece	1:02.06
3	2	Lee Bo-Eun	South Korea	1:02.22
3	8	Fabíola Molina	Brazil	1:02.77
3	4	Praphalsai Minpraphal	Thailand	1:02.99
3	6	Mariya Ogurtsova	Ukraine	1:03.00
3	1	Eydis Konrádsdóttir	Iceland	1:03.27
3	7	Siobhan Cropper	Trinidad and Tobago	1:03.34
2	4	Hsieh Shu-Ting	Chinese Taipei	1:03.52
2	3	Yan Kay Flora Kong	Hong Kong	1:04.09
2	2	Ayse Diker	Turkey	1:04.65
2	5	María del Pilar Pereyra	Argentina	1:04.75
1	4	Lisa de la Motte	Swaziland	1:06.70
1	3	Angela Galea	Malta	1:07.88
2	7	Ellen Lendra Hight	Zambia	1:09.34
2	6	Mariya Bugakova	Uzbekistan	1:09.94
1	5	Tracy Ann Route	Federated States of Micronesia	1:13.53
2	1	Kenza Bennaceur	Algeria	DNS
