Outcome	Year	Championship	Partner	Opponents in the final	Score in the final
Winner	1965	Australian Championships	Robyn Ebbern	Margaret Court John Newcombe	shared championship, final not played
Winner	1966	US Championships	Donna Floyd Fales	Carol Hanks Aucamp Ed Rubinoff	6–1, 6–3
Winner	1967	Australian Championships (2)	Lesley Turner Bowrey	Judy Tegart Dalton Tony Roche	9–7, 6–4
Winner	1967	French Championships	Billie Jean King	Ann Haydon-Jones Ion Ţiriac	6–3, 6–1
Winner	1967	Wimbledon	Billie Jean King	Maria Bueno Ken Fletcher	7–5, 6–2
Winner	1967	US Championships (2)	Billie Jean King	Rosemary Casals Stan Smith	6–3, 6–2
Runner-up	1968	French Open	Billie Jean King	Françoise Dürr Jean-Claude Barclay	1–6, 4–6
Winner	1971	Wimbledon (2)	Billie Jean King	Margaret Court Marty Riessen	3–6, 6–2, 15–13
Winner	1971	US Open (3)	Billie Jean King	Bob Maud Betty Stöve	6–3, 7–5
Winner	1973	Wimbledon (3)	Billie Jean King	Janet Newberry Raúl Ramírez	6–3, 6–2
Winner	1973	US Open (4)	Billie Jean King	Margaret Court Marty Riessen	6–3, 3–6, 7–6
Winner	1974	Wimbledon (4)	Billie Jean King	Lesley Charles Mark Farrell	6–3, 9–7
