Game	December	Opponent	Score	Location/Attendance	Record	Points
23	2	New York Rangers	6-5	Nassau Veterans Memorial Coliseum (13,742)	5-13-5	15
24	3	@ New York Rangers	2-0	Madison Square Garden (18,200)	5-14-5	15
25	5	Philadelphia Flyers	3-2	Nassau Veterans Memorial Coliseum (7,773)	5-15-5	15
26	9	@ Boston Bruins	5-2	TD Garden (17,565)	5-16-5	15
27	11	Atlanta Thrashers	5-4	Nassau Veterans Memorial Coliseum (10,056)	5-17-5	15
28	13	@ Nashville Predators	5-0	Bridgestone Arena (14,314)	5-18-5	15
29	16	Anaheim Ducks	3-2	Nassau Veterans Memorial Coliseum (7,659)	6-18-5	17
30	18	Phoenix Coyotes	4-3 (SO)	Nassau Veterans Memorial Coliseum (8,433)	6-18-6	18
31	22	Tampa Bay Lightning	2-1 (OT)	Nassau Veterans Memorial Coliseum (7,324)	7-18-6	20
32	23	@ New Jersey Devils	5-1	Prudential Center (13,312)	8-18-6	22
33	26	Montreal Canadiens	4-1	Nassau Veterans Memorial Coliseum (3,136)	9-18-6	24
34	27	@ New York Rangers	7-2	Madison Square Garden (18,200)	9-19-6	24
35	29	Pittsburgh Penguins	2-1 (SO)	Nassau Veterans Memorial Coliseum (14,345)	10-19-6	26
