Region	Location	From	Depots (12.09)	Routes (12.09)	Vehicles (12.09)
Altai krai	Barnaul	19 Oct 1973	1	5	57
Altai krai	Rubtsovsk	28 Dec 1973	1	2	49
Zabaykalsky krai	Chita	30 Dec 1970	1	5	77
Irkutsk obl.	Irkutsk	6 Nov 1970	1	5	40
Irkutsk obl.	Bratsk	1 Feb 1975	1	5	50
Kemerovo obl.	Kemerovo	25 Sep 1970	1	10	88
Kemerovo obl.	Leninsk-Kuznetsky	11 Jan 1984	1	3	31
Kemerovo obl.	Novokuznetsk	1 Jan 1978	1	4	53
Krasnoyarsk krai	Krasnoyarsk	5 Nov 1959	2	8	140
Novosibirsk obl.	Novosibirsk	11 Nov 1957	4	14	322
Omsk obl.	Omsk	5 Nov 1955	2	10	216
Tomsk obl.	Tomsk	7 Nov 1967	1	8	93
Khakassia	Abakan	31 Dec 1980	1	12	24
