Player	Round	Pick	Position	NFL Club
Will Smith	1	18	Defensive End	New Orleans Saints
Chris Gamble	1	28	Defensive Back	Carolina Panthers
Michael Jenkins	1	29	Wide Receiver	Atlanta Falcons
Ben Hartsock	3	68	Tight End	Indianapolis Colts
Tim Anderson	3	74	Defensive Tackle	Buffalo Bills
B.J. Sander	3	87	Punter	Green Bay Packers
Darrion Scott	3	88	Defensive End	Minnesota Vikings
Alex Stepanovich	4	100	Center	Arizona Cardinals
Will Allen	4	111	Defensive Back	Tampa Bay Buccaneers
Craig Krenzel	5	148	Quarterback	Chicago Bears
Drew Carter	5	163	Wide Receiver	Carolina Panthers
Robert Reynolds	5	165	Linebacker	Tennessee Titans
Shane Olivea	7	209	Tackle	San Diego Chargers
Adrien Clarke	7	227	Guard	Philadelphia Eagles
