Outcome	Date	Tournament	Surface	Opponent	Score
Winner	3 March 2004	Mumbai	Hard	Chen Yanchong	6–4 6–4
Runner–up	1 May 2004	Bournemouth	Clay	Elke Clijsters	6–3 1–6 2–6
Winner	10 April 2005	Bath	Hard	Anne Keothavong	6–4 4–6 6–4
Runner–up	8 May 2005	Edinburgh	Clay	Ekaterina Kozhokina	4–6 3–6
Winner	29 January 2006	Hull	Hard	Irena Pavlovic	6–4 6–1
Winner	30 July 2006	Chengdu	Hard	Lu Jingjing	7–5 7–6 (7–5)
Winner	23 March 2008	Sorrento	Hard	Christina Wheeler	7–5 6–7 (6–8) 6–4
Runner–up	12 October 2008	Traralgon	Hard	Jarmila Gajdošová	3–6 6–3 1–6
Runner–up	19 October 2008	Mount Gambier	Hard	Natalie Grandin	6–7 (2–7) 4–6
Winner	26 October 2008	Port Pirie	Hard	Yurika Sema	6–3 6–4
Runner–up	15 November 2008	Pune	Hard	Lu Jingjing	3–6 2–6
Runner–up	25 October 2009	Glasgow	Hard	Johanna Larsson	1–6 6–1 3–6
