Round	Pick	Overall	Name	Position	College
1	1	1	Harry Gilmer	QB	Alabama
1	4	4	Lowell Tew	FB	Alabama
3	3	16	Tommy Thompson	LB	William & Mary
5	3	28	Dan Sandifer	DB	Louisiana State
6	3	38	Jack Weisenberger	RB	Michigan
7	3	48	Jack Kurkowski	RB	Detroit Mercy [e ]
8	3	58	Jerry Cady	OT	Gustavus Adolphus
9	3	68	Bob Anderson	RB	Stanford
10	3	78	Mike Katrishen	G	Southern Mississippi
11	3	88	Ed Marshall	OT	Pennsylvania
12	3	98	Ted Andrus	G	Southwestern Louisiana [s ]
13	3	108	Carl Suss	RB	Rice
14	3	118	Chick Jagade	FB	Indiana
15	3	128	Ed Quirk	FB	Missouri
16	3	138	Art Pollard	RB	Arizona
17	3	148	Chuck Newman	E	Louisiana Tech
17	6	151	Dale Schwartzkoph	E	Texas Tech
18	3	158	Ray Pearcy	C	Oklahoma
19	3	168	Gene Vellela	OT	Scranton [i ]
20	3	178	Cloyce Box	E	West Texas State [v ]
21	3	188	Bryan Bell	RB	Washington & Lee
22	3	198	Joel Williams	C	Texas
23	3	208	Lou Holtsma	E	William & Mary
24	3	218	Floyd Lawhorn	G	Texas Tech
25	3	228	Dick West	RB	Princeton
26	3	238	Roland Oakes	E	Missouri
27	3	248	Ed Watkins	OT	Idaho
28	3	258	Don Corbitt	C	Arizona
29	3	268	Buddy Bowen	RB	Mississippi
30	3	278	Vic Paulson	E	California-Santa Barbara [l ]
31	1	286	Barney Welch	RB	Texas A&M
