Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 2, 1979	San Diego Chargers	L 16-33	Kingdome	0-1	62,887
2	September 9, 1979	at Miami Dolphins	L 10-19	Miami Orange Bowl	0-2	56,233
3	September 16, 1979	Oakland Raiders	W 27-10	Kingdome	1-2	61,602
4	September 23, 1979	at Denver Broncos	L 34-37	Mile High Stadium	1-3	74,879
5	September 30, 1979	Kansas City Chiefs	L 6-24	Kingdome	1-4	61,169
6	October 7, 1979	at San Francisco 49ers	W 35-24	Candlestick Park	2-4	44,592
7	October 14, 1979	at San Diego Chargers	L 10-20	San Diego Stadium	2-5	50,077
8	October 21, 1979	Houston Oilers	W 34-14	Kingdome	3-5	60,705
9	October 29, 1979	at Atlanta Falcons	W 31-28	Atlanta-Fulton County Stadium	4-5	52,566
10	November 4, 1979	Los Angeles Rams	L 0-24	Kingdome	4-6	62,048
11	November 11, 1979	at Cleveland Browns	W 29-24	Cleveland Stadium	5-6	72,440
12	November 18, 1979	New Orleans Saints	W 38-24	Kingdome	6-6	60,055
13	November 26, 1979	New York Jets	W 30-7	Kingdome	7-6	59,977
14	December 2, 1979	at Kansas City Chiefs	L 21-37	Arrowhead Stadium	7-7	42,160
15	December 8, 1979	Denver Broncos	W 28-23	Kingdome	8-7	60,038
16	December 16, 1979	at Oakland Raiders	W 29-24	Oakland-Alameda County Coliseum	9-7	53,177
