Title	Series	Director	Release date	reissue?
Three Little Bops	LT	Friz Freleng	1957-01-05	No
Tweet Zoo	MM	Friz Freleng	1957-01-12	Yes
Scrambled Aches	LT	Chuck Jones	1957-01-26	No
Ali Baba Bunny	MM	Chuck Jones	1957-02-09	No
Go Fly a Kit	LT	Chuck Jones	1957-02-23	No
Tweety and the Beanstalk	MM	Friz Freleng	1957-03-16	No
Bedeviled Rabbit	MM	Robert McKimson	1957-04-13	No
Boyhood Daze	MM	Chuck Jones	1957-04-20	No
Cheese It, the Cat!	LT	Robert McKimson	1957-05-04	No
Fox Terror	MM	Robert McKimson	1957-05-11	Yes
Piker's Peak	LT	Friz Freleng	1957-05-25	No
Steal Wool	LT	Chuck Jones	1957-06-08	No
Boston Quackie	LT	Robert McKimson	1957-06-22	No
What's Opera, Doc?	MM	Chuck Jones	1957-07-06	No
Tabasco Road	LT	Robert McKimson	1957-07-20	Yes
Birds Anonymous	MM	Friz Freleng	1957-08-10	Yes
Ducking the Devil	MM	Robert McKimson	1957-08-17	No
Bugsy and Mugsy	LT	Friz Freleng	1957-08-31	No
Zoom and Bored	MM	Chuck Jones	1957-09-14	No
Greedy For Tweety	LT	Friz Freleng	1957-09-28	Yes
Touché and Go	MM	Chuck Jones	1957-10-12	No
Show Biz Bugs	LT	Friz Freleng	1957-11-2	No
Mouse-Taken Identity	MM	Robert McKimson	1957-11-16	No
Gonzales' Tamales	LT	Friz Freleng	1957-11-30	No
Rabbit Romeo	MM	Robert McKimson	1957-12-14	No
