Year	Award	Category	Nominee	Result
1984	Tony Award	Best Musical	Best Musical	Won
1984	Tony Award	Best Book of a Musical	Harvey Fierstein	Won
1984	Tony Award	Best Original Score	Jerry Herman	Won
1984	Tony Award	Best Performance by a Leading Actor in a Musical	George Hearn	Won
1984	Tony Award	Best Performance by a Leading Actor in a Musical	Gene Barry	Nominated
1984	Tony Award	Best Direction of a Musical	Arthur Laurents	Won
1984	Tony Award	Best Choreography	Scott Salmon	Nominated
1984	Tony Award	Best Costume Design	Theoni V. Aldredge	Won
1984	Tony Award	Best Lighting Design	Jules Fisher	Nominated
1984	Drama Desk Award	Outstanding Book of a Musical	Harvey Fierstein	Nominated
1984	Drama Desk Award	Outstanding Actor in a Musical	George Hearn	Won
1984	Drama Desk Award	Outstanding Actor in a Musical	Gene Barry	Nominated
1984	Drama Desk Award	Outstanding Music	Jerry Herman	Won
1984	Drama Desk Award	Outstanding Lyrics	Jerry Herman	Nominated
1984	Drama Desk Award	Outstanding Orchestrations	Jim Tyler [ disambiguation needed ]	Nominated
1984	Drama Desk Award	Outstanding Costume Design	Theoni V. Aldredge	Won
1984	Drama Desk Award	Outstanding Lighting Design	Jules Fisher	Nominated
