Date	Visitor	Score	Home	Decision	Attendance
November 1	Chicago	1 – 4	Detroit	Osgood	20,066
November 3	Edmonton	4 – 3	Detroit	Osgood	20,066
November 5	Phoenix	4 – 1	Detroit	Osgood	20,066
November 6	Detroit	4 – 1	St. Louis	Osgood	13,211
November 9	Los Angeles	5 – 4	Detroit	Legace	20,066
November 11	Minnesota	1 – 3	Detroit	Legace	20,066
November 13	Detroit	1 – 4	Vancouver	Legace	18,630
November 16	Detroit	1 – 3	Calgary	Legace	19,289
November 17	Detroit	5 – 6	Edmonton	Osgood	20,066
November 19	St. Louis	3 – 2	Detroit	Legace	20,066
November 21	Nashville	PPD †	Detroit	Legace	20,066
November 23	Colorado	3 – 7	Detroit	Legace	20,066
November 25	Detroit	1 – 3	Anaheim	Osgood	17,174
November 26	Detroit	7 – 6	San Jose	Osgood	17,496
November 28	Detroit	5 – 2	Los Angeles	Howard	18,118
