Date	City	Opponent	Results¹	Type of game
March 18	Sofia , Bulgaria	Bulgaria	1:0	Friendly
April 1	Niš	Bulgaria	1:0	Friendly
May 17	Prague , Czechoslovakia	Czechoslovakia	3:2	Friendly
June 17	Belgrade	Romania	1:2	Friendly
September 20	Belgrade	Luxembourg	3:1	1966 WCQ
September 27	Vienna , Austria	Austria	2:3	1966 WCQ
October 13	Tokyo, Japan	Morocco	3:1	1964 Summer Olympics
October 15	Tokyo, Japan	Hungary	5:6	1964 Summer Olympics
October 18	Tokyo, Japan	East Germany	0:1	1964 Summer Olympics
October 20	Osaka , Japan	Japan	6:1	1964 Summer Olympics
October 22	Osaka , Japan	Romania	0:3	1964 Summer Olympics
October 25	Budapest , Hungary	Hungary	1:2	Friendly
October 28	Tel Aviv , Israel	Israel	0:2	Friendly
November 22	Belgrade	USSR	1:1	Friendly
