Week	Date	Opponent	Location	Time ( ET )	TV	Result	Record
1	Sun. Sep. 4	Denver Broncos	Three Rivers Stadium	1:00pm	NBC	L 14–10	0–1
2	Sun. Sep. 11	at Green Bay Packers	Lambeau Field	1:00pm	NBC	W 25–21	1–1
3	Sun. Sep. 18	at Houston Oilers	Astrodome	1:00pm	NBC	W 40–28	2–1
4	Sun. Sep. 25	New England Patriots	Three Rivers Stadium	1:00pm	NBC	L 28–23	2–2
5	Sun. Oct. 2	Houston Oilers	Three Rivers Stadium	1:00pm	NBC	W 17–10	3–2
6	Mon. Oct. 10	at Cincinnati Bengals	Riverfront Stadium	9:00pm	ABC	W 24–14	4–2
7	Sun. Oct. 16	Cleveland Browns	Three Rivers Stadium	1:00pm	NBC	W 44–17	5–2
8	Sun. Oct. 23	at Seattle Seahawks	Kingdome	4:00pm	NBC	W 27–21	6–2
9	Sun. Oct. 30	Tampa Bay Buccaneers	Three Rivers Stadium	1:00pm	CBS	W 17–12	7–2
10	Sun. Nov. 6	San Diego Chargers	Three Rivers Stadium	1:00pm	NBC	W 26–3	8–2
11	Sun. Nov. 13	at Baltimore Colts	Memorial Stadium	2:00pm	NBC	W 24–13	9–2
12	Sun. Nov. 20	Minnesota Vikings	Three Rivers Stadium	1:00pm	CBS	L 17–14	9–3
13	Thu. Nov. 24	at Detroit Lions	Pontiac Silverdome	12:30pm	NBC	L 45–3	9–4
14	Sun. Dec. 4	Cincinnati Bengals	Three Rivers Stadium	1:00pm	NBC	L 23–10	9–5
15	Sat. Dec. 10	at New York Jets	Shea Stadium	12:30pm	NBC	W 34–7	10–5
