Rnd	Circuit	Pole Position	Fastest Lap	Winner	Results
1	Daytona	#58 Brumos Racing	#16 Penske Racing	#58 Brumos Racing	Results
1	Daytona	David Donohue Antonio García Darren Law Buddy Rice	Romain Dumas Timo Bernhard Ryan Briscoe	David Donohue Antonio García Darren Law Buddy Rice	Results
1	Daytona	#70 SpeedSource	#86 Farnbacher Loles Racing	#67 The Racer's Group	Results
2	Virginia	#01 Chip Ganassi Racing	#10 SunTrust Racing	#99 GAINSCO/Bob Stallings Racing	Results
2	Virginia	Memo Rojas Scott Pruett	Max Angelelli Brian Friselle	Jon Fogarty Alex Gurney	Results
2	Virginia	#70 SpeedSource	#57 Stevenson Motorsports	#57 Stevenson Motorsports	Results
2	Virginia	Nick Ham Sylvain Tremblay	Robin Liddell Andrew Davis	Andrew Davis Robin Liddell	Results
3	New Jersey	#12 Penske Racing	#6 Michael Shank Racing	#76 Krohn Racing	Results
3	New Jersey	Romain Dumas Timo Bernhard	Michael Valiante John Pew	Niclas Jönsson Ricardo Zonta	Results
3	New Jersey	#07 Banner Racing	#87 Farnbacher Loles Racing	#87 Farnbacher Loles Racing	Results
3	New Jersey	Kelly Collins Paul Edwards	Dirk Werner Leh Keen	Leh Keen Dirk Werner	Results
4	Laguna Seca	#01 Chip Ganassi Racing	#99 GAINSCO/Bob Stallings Racing	#99 GAINSCO/Bob Stallings Racing	Results
4	Laguna Seca	Memo Rojas Scott Pruett	Jon Fogarty Alex Gurney	Jon Fogarty Alex Gurney	Results
4	Laguna Seca	#70 SpeedSource	#70 SpeedSource	#70 SpeedSource	Results
4	Laguna Seca	Nick Ham Sylvain Tremblay	Sylvain Tremblay Nick Ham	Nick Ham Sylvain Tremblay	Results
5	Watkins Glen	#01 Chip Ganassi Racing	#01 Chip Ganassi Racing	#01 Chip Ganassi Racing	Results
5	Watkins Glen	Scott Pruett Memo Rojas	Scott Pruett Memo Rojas	Scott Pruett Memo Rojas	Results
5	Watkins Glen	#87 Farnbacher Loles Racing	#86 Farnbacher Loles Racing	#87 Farnbacher Loles Racing	Results
5	Watkins Glen	Dirk Werner Leh Keen	Wolf Henzler Eric Lux	Leh Keen Dirk Werner	Results
6	Mid-Ohio	#99 GAINSCO/Bob Stallings Racing	#6 Michael Shank Racing	#01 Chip Ganassi Racing	Results
6	Mid-Ohio	Jon Fogarty Alex Gurney	Michael Valiante John Pew	Scott Pruett Memo Rojas	Results
6	Mid-Ohio	#86 Farnbacher Loles Racing	#87 Farnbacher Loles Racing	#87 Farnbacher Loles Racing	Results
6	Mid-Ohio	Eric Lux Dominik Farnbacher	Dirk Werner Leh Keen	Leh Keen Dirk Werner	Results
7	Daytona	#01 Chip Ganassi Racing	#99 GAINSCO/Bob Stallings Racing	#10 SunTrust Racing	Results
7	Daytona	Memo Rojas Scott Pruett	Alex Gurney Jon Fogarty	Max Angelelli Brian Frisselle	Results
7	Daytona	#70 SpeedSource	#67 The Racer's Group	#87 Farnbacher Loles Racing	Results
7	Daytona	Nick Ham Sylvain Tremblay	Andy Lally Justin Marks	Leh Keen Dirk Werner	Results
8	Barber	#99 GAINSCO/Bob Stallings Racing	#76 Krohn Racing	#99 GAINSCO/Bob Stallings Racing	Results
8	Barber	Jon Fogarty Alex Gurney	Ricardo Zonta Niclas Jönsson	Jon Fogarty Alex Gurney	Results
8	Barber	#87 Farnbacher Loles Racing	#57 Stevenson Motorsports	#57 Stevenson Motorsports	Results
8	Barber	Leh Keen Dirk Werner	Robin Liddell Andrew Davis	Andrew Davis Robin Liddell	Results
9	Watkins Glen	#99 GAINSCO/Bob Stallings Racing	#76 Krohn Racing	#76 Krohn Racing	Results
9	Watkins Glen	Jon Fogarty Alex Gurney	Ricardo Zonta Niclas Jönsson	Niclas Jönsson Ricardo Zonta	Results
9	Watkins Glen	#87 Farnbacher Loles Racing	#87 Farnbacher Loles Racing	#69 SpeedSource	Results
9	Watkins Glen	Leh Keen Dirk Werner	Dirk Werner Leh Keen	Emil Assentato Jeff Segal	Results
10	Montreal	#99 GAINSCO/Bob Stallings Racing	#99 GAINSCO/Bob Stallings Racing	#10 SunTrust Racing	Results
10	Montreal	Jon Fogarty Alex Gurney	Jon Fogarty Alex Gurney	Max Angelelli Brian Frisselle	Results
10	Montreal	#87 Farnbacher Loles Racing	#30 Racers Edge Motorsports	#57 Stevenson Motorsports	Results
10	Montreal	Leh Keen Dirk Werner	Tom Sutherland Dane Cameron	Andrew Davis Robin Liddell	Results
11	Miller	#99 GAINSCO/Bob Stallings Racing	#99 GAINSCO/Bob Stallings Racing	#99 GAINSCO/Bob Stallings Racing	Results
11	Miller	Jon Fogarty Alex Gurney	Alex Gurney Jon Fogarty	Jon Fogarty Alex Gurney	Results
11	Miller	#70 SpeedSource	#57 Stevenson Motorsports	#69 SpeedSource	Results
11	Miller	Nick Ham Sylvain Tremblay	Andrew Davis Robin Liddell	Emil Assentato Jeff Segal	Results
12	Homestead	#99 GAINSCO/Bob Stallings Racing	#90 Spirit of Daytona Racing	#59 Brumos Racing	Results
12	Homestead	Jon Fogarty Alex Gurney	Buddy Rice Antonio García	João Barbosa Hurley Haywood	Results
12	Homestead	#70 SpeedSource	#07 Team Drinkin' Mate	#07 Team Drinkin' Mate	Results
