Rank	Nation	Gold	Silver	Bronze	Total
1	Norway	15	10	1	26
2	Great Britain	12	6	6	24
3	United States	10	5	7	22
4	Sweden	8	8	8	24
5	France	5	7	7	19
6	Denmark	5	7	2	14
7	Netherlands	3	3	4	10
8	Belgium	2	3	2	7
9	Italy	2	1	3	6
10	Soviet Union	2	1	0	3
11	New Zealand	2	0	0	2
12	Germany	1	2	2	5
13	Australia	1	1	1	3
13	Germany (EUA)	1	1	1	3
13	Switzerland	1	1	1	3
16	Bahamas	1	0	1	2
17	Greece	1	0	0	1
17	Mixed team (ZZX)	1	0	0	1
19	Portugal	0	2	1	3
20	Argentina	0	2	0	2
21	Finland	0	1	5	6
22	Canada	0	1	1	2
23	Austria	0	1	0	1
23	Cuba	0	1	0	1
23	West Germany	0	1	0	1
26	Brazil	0	0	1	1
26	Spain	0	0	1	1
26	Estonia	0	0	1	1
26	East Germany	0	0	1	1
26	Russia	0	0	1	1
Total	30	73	65	58	196
