Pick #	Player	Position	Nationality	NHL team	College/junior/club team
64	Mark Teevens	Right Wing	Canada	Pittsburgh Penguins	Peterborough Petes (OHL)
65	Lee Brodeur	Right Wing	United States	Montreal Canadiens	Grafton High School (USHS-ND)
66	Tommy Eriksson	Left Wing	Sweden	Chicago Black Hawks	Modo Hockey (Sweden)
67	Jeff Reese	Goaltender	Canada	Toronto Maple Leafs	London Knights (OHL)
68	Chris Mills	Defence	Canada	Winnipeg Jets	Bramalea Blues (MetJHL))
69	Tom Glavine	Centre	United States	Los Angeles Kings	Billerica High School (USHS-MA)
70	Doug Wieck	Left Wing	United States	New York Islanders	Mayo High School (USHS-MN)
71	Graham Herring	Defence	Canada	St. Louis Blues	Longueuil Chevaliers (QMJHL)
72	Sean Clement	Defence	Canada	Winnipeg Jets	Brockville Braves (CJHL)
73	Brian Bertuzzi	Centre	Canada	Vancouver Canucks	Kamloops Jr. Oilers (WHL)
74	Paul Ysebaert	Centre	Canada	New Jersey Devils	Petrolia Jets (WOJBHL)
75	Petr Rosol	Right Wing	Czechoslovakia	Calgary Flames	HC Dukla Jihlava (Czechoslovakia)
76	Miroslav Maly	Defence	Czechoslovakia	Minnesota North Stars	SV Bayreuth (West Germany)
77	Paul Broten	Centre	United States	New York Rangers	Roseau High School (USHS-MN))
78	Terry Perkins	Right Wing	Canada	Quebec Nordiques	Portland Winter Hawks (WHL)
79	Dave Hanson	Centre	United States	Philadelphia Flyers	Grand Forks High School (USHS-ND)
80	Kris King	Centre	Canada	Washington Capitals	Peterborough Petes (OHL)
81	Bob Halkidis	Defence	Canada	Buffalo Sabres	London Knights (OHL)
82	Bob Joyce	Left Wing	Canada	Boston Bruins	Notre Dame Hounds (SJHL)
83	Ari Haanpaa	Right Wing	Finland	New York Islanders	Ilves (Finland)
84	Rich Novak	Right Wing	Canada	Edmonton Oilers	Richmond Sockeyes (BCJHL)
