Name	Space Agency	Launch Date	Terminated	Location
AKARI	JAXA	21 February 2006	24 November 2011	Earth orbit (586.47–610.44km)
Herschel Space Observatory	ESA & NASA	14 May 2009	29 April 2013	Sun - Earth L 2 Lagrange point
IRAS	NASA	25 January 1983	21 November 1983	Earth orbit (889–903km)
Infrared Space Observatory (ISO)	ESA	17 November 1995	16 May 1998	Earth orbit (1000–70500km)
Infrared Telescope in Space	ISAS & NASDA	18 March 1995	25 April 1995	Earth orbit (486km)
Midcourse Space Experiment (MSX)	USN	24 April 1996	26 February 1997	Earth orbit (900km)
Spitzer Space Telescope	NASA	25 August 2003	—	Solar orbit (0.98–1.02 AU )
Submillimeter Wave Astronomy Satellite (SWAS)	NASA	6 December 1998	Last used in 2005	Earth orbit (638–651km)
Wide Field Infrared Explorer (WIRE)	NASA	5 March 1999	no observations	Re-entered May 10, 2011
Wide-field Infrared Survey Explorer (WISE)	NASA	14 December 2009	Feb 2011	Earth orbit (500km)
