Date	Venue	Score	Result	Competition
December 4, 1991	León , Mexico	3–0	Win	Friendly
March 11, 1992	Tampico , Mexico	1–1	Draw	Friendly
November 22, 1992	Mexico City, Mexico	4–0	Win	1994 FIFA World Cup qualification
January 27, 1993	Las Palmas , Canary Islands	1–1	Draw	Friendly
April 18, 1993	Mexico City, Mexico	3–1	Win	1994 FIFA World Cup qualification
May 2, 1993	Tegucigalpa , Honduras	4–1	Win	1994 FIFA World Cup qualification
June 11, 1994	Miami , United States	3–0	Win	Friendly
June 11, 1994	Miami, United States	3–0	Win	Friendly
June 24, 1994	Orlando , United States	2–1	Win	1994 FIFA World Cup
June 24, 1994	Orlando, United States	2–1	Win	1994 FIFA World Cup
January 6, 1995	Riyadh , Saudi Arabia	2–0	Win	1995 King Fahd Cup
January 6, 1995	Riyadh, Saudi Arabia	2–0	Win	1995 King Fahd Cup
January 10, 1995	Riyadh, Saudi Arabia	1–1	Draw	1995 King Fahd Cup
March 29, 1995	Los Angeles, United States	1–2	Loss	Friendly
July 6, 1995	Maldonado, Uruguay	2–1	Win	1995 Copa América
July 9, 1995	Maldonado, Uruguay	3–1	Win	1995 Copa América
July 13, 1995	Montevideo , Uruguay	1–1	Draw	1995 Copa América
November 30, 1995	Los Angeles, United States	2–2	Draw	Friendly
January 11, 1996	San Diego , United States	5–0	Win	1996 CONCACAF Gold Cup
January 11, 1996	San Diego, United States	5–0	Win	1996 CONCACAF Gold Cup
January 21, 1996	Los Angeles, United States	2–0	Win	1996 CONCACAF Gold Cup
June 8, 1996	Dallas , United States	1–0	Win	1996 U.S. Cup
June 12, 1996	East Rutherford , United States	2–2	Draw	1996 U.S. Cup
June 12, 1996	East Rutherford, United States	2–2	Draw	1996 U.S. Cup
June 8, 1997	San Salvador , El Salvador	1–0	Win	1998 FIFA World Cup qualification
October 5, 1997	Mexico City, Mexico	5–0	Win	1998 FIFA World Cup qualification
May 31, 1998	Lausanne , Switzerland	2–1	Win	Friendly
