Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Lucien DeBlois	RW	Canada	Sorel Black Hawks ( QMJHL )
1	Ron Duguay	C	Canada	Sudbury Wolves ( OHA )
2	Mike Keating	LW	Canada	St. Catharines Fincups (OHA)
3	Steve Baker	G	United States	Union College ( NCAA )
4	Mario Marois	D	Canada	Quebec Remparts (QMJHL)
5	Benoit Gosselin	LW	Canada	Trois-Rivières Draveurs (QMJHL)
6	John Bethel	LW	Canada	Boston University (NCAA)
7	Bob Sullivan	LW	Canada	Chicoutimi Saguenéens (QMJHL)
8	Lance Nethery	C	Canada	Cornell University (NCAA)
9	Alex Jeans	C	Canada	University of Toronto ( CIAU )
10	Pete Raps	LW	Canada	Western Michigan University (NCAA)
11	Mike Brown	RW	United States	Western Michigan University (NCAA)
12	Mark Miller	LW	Canada	University of Michigan (NCAA)
