Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	20	39:19.427	4
Troy Bayliss	Ducati 1098 F08	20	+2.025	2
Max Neukirchner	Suzuki GSX-R1000	20	+2.792	1
Troy Corser	Yamaha YZF-R1	20	+5.458	6
Carlos Checa	Honda CBR1000RR	20	+10.225	3
Ruben Xaus	Ducati 1098 RS 08	20	+10.462	10
Michel Fabrizio	Ducati 1098 F08	20	+17.018	5
Fonsi Nieto	Suzuki GSX-R1000	20	+20.520	14
Makoto Tamada	Kawasaki ZX-10R	20	+21.162	21
Karl Muggeridge	Honda CBR1000RR	20	+22.650	9
Jakub Smrz	Ducati 1098 RS 08	20	+22.845	11
Ryuichi Kiyonari	Honda CBR1000RR	20	+25.555	12
Max Biaggi	Ducati 1098 RS 08	20	+25.879	8
Régis Laconi	Kawasaki ZX-10R	20	+26.288	13
Sébastien Gimbert	Yamaha YZF-R1	20	+32.824	15
Roberto Rolfo	Honda CBR1000RR	20	+42.157	25
Ayrton Badovini	Kawasaki ZX-10R	20	+42.486	22
Shinichi Nakatomi	Yamaha YZF-R1	20	+52.232	19
Russell Holland	Honda CBR1000RR	20	+52.387	23
Vittorio Iannuzzo	Kawasaki ZX-10R	20	+1:00.099	26
Loic Napoleone	Yamaha YZF-R1	16	Retirement	28
Lorenzo Lanzi	Ducati 1098 RS 08	16	Retirement	7
Jason Pridmore	Honda CBR1000RR	12	Accident	27
Kenan Sofuoğlu	Honda CBR1000RR	6	Retirement	20
David Checa	Yamaha YZF-R1	5	Retirement	17
Shuhei Aoyama	Honda CBR1000RR	3	Retirement	24
Gregorio Lavilla	Honda CBR1000RR	0	Accident	18
