Date	Opponent	Score	Loss	Record
July 1	Mariners	11 - 2	Gott (5-7)	42-32
July 2	Mariners	7 - 6	Caudill (1-5)	43-32
July 3	Mariners	4 - 1	Stieb (10-7)	43-33
July 4	Mariners	Postponed (rain) Rescheduled for September 19	Postponed (rain) Rescheduled for September 19	Postponed (rain) Rescheduled for September 19
July 8	Rangers	8 - 5	Darwin (7-7)	44-33
July 9	Rangers	5 - 1	Hough (7-7)	45-33
July 10	Rangers	6 - 4	Honeycutt (11-5)	46-33
July 11	@ Royals	7 - 4 (11)	Creel (0-4)	47-33
July 12	@ Royals	9 - 6	Renko (5-7)	48-33
July 13	@ Royals	5 - 4	Clancy (8-6)	48-34
July 14	@ White Sox	8 - 0	Koosman (7-2)	49-34
July 15	@ White Sox	3 - 2	Dotson (8-6)	50-34
July 16	@ White Sox	7 - 5	Agosto (1-1)	51-34
July 17	@ White Sox	3 - 2	Alexander (0-3)	51-35
July 18	Royals	8 - 2	Gura (8-11)	52-35
July 19	Royals	6 - 2	Leal (10-7)	52-36
July 20	Royals	14 - 8	Stieb (11-8)	52-37
July 21	@ Rangers	3 - 2	Gott (5-8)	52-38
July 22	@ Rangers	10 - 5 (11)	Schmidt (2-1)	53-38
July 23	@ Rangers	3 - 2	Darwin (7-10)	54-38
July 24	@ Rangers	3 - 0	Leal (10-8)	54-39
July 25	White Sox	7 - 4	Stieb (11-9)	54-40
July 26	White Sox	6 - 4	Burns (5-6)	55-40
July 26	White Sox	4 - 3	Alexander (0-4)	55-41
July 27	White Sox	11 - 3	Leal (10-9)	55-42
July 29	Indians	4 - 2	Sutcliffe (12-6)	56-42
July 30	Indians	6 - 5 (13)	Anderson (0-2)	57-42
July 31	Indians	16 - 11	Acker (2-1)	57-43
