Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	20-6	Donald Cerrone	Decision (unanimous)	UFC Fight Night: Condit vs. Kampmann 2	3	5:00	Indianapolis, Indiana , United States
Win	19-6	Evan Dunham	Decision (unanimous)	UFC on FX: Belfort vs. Rockhold	3	5:00	Jaraguá do Sul , Brazil
Win	18-6	Mark Bocek	Decision (unanimous)	UFC 154	3	5:00	Montreal, Quebec , Canada
Win	17-6	Anthony Njokuani	Decision (unanimous)	UFC on Fuel TV: Munoz vs. Weidman	3	5:00	San Jose, California , United States
Win	16-6	Kamal Shalorus	Submission (rear naked choke)	UFC on Fuel TV: Korean Zombie vs. Poirier	1	1:40	Fairfax, Virginia , United States
Loss	15-6	Gleison Tibau	Decision (split)	UFC 139	3	5:00	San Jose, California , United States
Win	15-5	George Sotiropoulos	KO (punch)	UFC 132	1	0:59	Las Vegas, Nevada , United States
Loss	14-5	Clay Guida	Submission (jaw injury)	UFC 117	3	1:51	Oakland, California , United States
Win	14-4	Terry Etim	Submission (armbar)	UFC 112	2	4:30	Abu Dhabi , United Arab Emirates
Win	13-4	Kyle Bradley	Decision (unanimous)	UFC Fight Night: Maynard vs. Diaz	3	5:00	Fairfax, Virginia , United States
Win	12-4	Rob Emerson	Decision (unanimous)	UFC 103	3	5:00	Dallas, Texas , United States
Loss	11-4	Tyson Griffin	Decision (unanimous)	UFC Fight Night: Condit vs. Kampmann	3	5:00	Nashville, Tennessee , United States
Loss	11-3	Jeremy Stephens	KO (punches)	UFC 91	3	0:39	Las Vegas, Nevada , United States
Win	11-2	Takafumi Otsuka	Decision (split)	Fury FC 6 - High Voltage	3	5:00	Rio de Janeiro , Brazil
Win	10-2	Takaichi Hirayama	Submission (armbar)	Pancrase - Shining 5	1	1:25	Tokyo , Japan
Win	9-2	Gabriel Veiga	Decision (unanimous)	Fury FC 5 - Final Conflict	3	5:00	Sao Paulo , Brazil
Win	8-2	Danilo Cherman	Submission (kimura)	Fury FC 4 - High Voltage	2	3:38	Teresopolis , Brazil
Win	7-2	Mauricio Souza	Submission (rear naked choke)	XFC - Brazil	1	6:24	Rio de Janeiro , Brazil
Win	6-2	Thiago Minu	Submission (rear naked choke)	XFC - Brazil	1	7:28	Rio de Janeiro , Brazil
Win	5-2	Johil de Oliveira	Submission (rear naked choke)	Juiz de Fora - Fight 4	1	2:50	Juiz de Fora , Brazil
Win	4-2	Mateus Trindade	Decision (unanimous)	Shooto - Brazil 11	3	5:00	Rio de Janeiro , Brazil
Win	3-2	Diogo Oliveira	Submission (armbar)	TFMMA - Top Fighter MMA 2	2	N/A	Rio de Janeiro , Brazil
Loss	2-2	Jorge Britto	Decision (split)	Arena - BH Combat	3	5:00	Brazil
Win	2-1	Felipe Arinelli	TKO (cut)	Juiz de Fora - Fight 2	2	N/A	Brazil
Win	1-1	Joao Paulo	Decision	Arena - BH	N/A	N/A	Minas Gerais , Brazil
Loss	0-1	Adriano Abu	Decision (split)	Juiz de Fora - Fight 1	3	5:00	Juiz de Fora , Brazil
