Date	Label	Format	Country	Catalog
June 21, 1965	Columbia	LP	US	CL 2372
June 21, 1965	Columbia	LP	US	CS 9172
August 20, 1965	CBS	LP	UK	BPG 62571
August 20, 1965	CBS	LP	UK	SBPG 62571
1970	Columbia	LP	US	465566 1
1974	Embassy	LP	UK	EMB 31057
1974	CBS/Embassy	LP	UK	S 31503
1975	CBS	LP	UK	S 33645
1987	Columbia	CD	US	CK 9172
1989	CBS	CD	Europe	465566 2
1993	Columbia	CD	UK	COL 468015
April 30, 1996	Columbia/Legacy	CD	US	CK 64845
May 6, 1996	Columbia/Legacy	CD	UK	COL 483705
1999	Simply Vinyl	LP	UK	SVLP 0032
2003	Sony	CD	Japan	MHCP-66
2004	Sony/ BMG	CD	UK	4837055003
February 7, 2006	Columbia/ Mobile Fidelity Sound Lab	SACD (Hybrid)	US	UDSACD 2014
February 21, 2006	Sundazed	LP	US	LP 5197
February 10, 2009	Sony/Columbia	CD	US	743323
