Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	10–10 (3)	Vitaly Minakov	KO (punches)	Fight Nights: Battle of Desne	1	3:55	Bryansk , Bryansk Oblast , Russia
Win	10–9 (3)	Anthony Hamilton	Submission (arm-triangle choke)	SportFight 31: Battle at the Bay 2	1	2:02	Manson, Washington , United States
Loss	9–9 (3)	Tyler East	KO (punches)	WCFC: Last Man Standing 2	1	0:36	Orem, Utah , United States
Win	9–8 (3)	Andenilson Clementino	TKO (punches)	WCFC: Last Man Standing 2	1	2:12	Orem, Utah , United States
NC	8–8 (3)	Scott Junk	No contest (accidental kick to the groin)	Galaxy MMA 1: Worlds Collide	1	0:27	Honolulu , Hawaii , United States
Loss	8–8 (2)	Mike Hayes	KO (punch)	ROTR 6: Final Countdown	2	3:50	Snoqualmie , Washington , United States
Win	8–7 (2)	Nick Braker	Submission (rear-naked choke)	CATC 6: Carnage at the Creek 6	1	3:08	Shelton , Washington , United States
Loss	7–7 (2)	Tracy Willis	TKO (punches)	Pro Battle MMA: Immediate Impact	2	2:49	Springdale United States
Loss	7–6 (2)	Mychal Clark	Submission (punches)	SF 23: SportFight 23	2	3:51	Portland , United States
Loss	7–5 (2)	Roy Nelson	TKO (punches)	IFL: Las Vegas	1	3:20	Las Vegas , Nevada , United States
Win	7–4 (2)	Dierley Buga	TKO (punches)	SFC 3: Sul Fighting Championship 3	1	N/A	Brazil
NC	6–4 (2)	Maiquel Falcão	No Contest (cut from an illegal headbutt)	Desafio: Fight Show	1	N/A	Brazil
Win	6–4 (1)	Marcelo Barbosa	KO (punch)	SS: Storm Samurai	1	N/A	Brazil
Loss	5–4 (1)	Gilbert Yvel	TKO (punches)	Cage Rage 17	1	1:30	London , England
Loss	5–3 (1)	Gabriel Gonzaga	TKO (punches)	UFC 60	2	0:24	Los Angeles , California , United States
Loss	5–2 (1)	Brandon Vera	TKO (knees & punches)	UFC Ultimate Fight Night 2	2	3:22	Las Vegas , Nevada , United States
Win	5–1 (1)	Aaron Brink	Submission (guillotine choke)	IFC: Rock N' Rumble	1	0:50	Nevada , United States
Win	4–1 (1)	Brian Stromberg	Submission (guillotine choke)	SF 11: Rumble at the Rose Garden	1	1:13	Oregon , United States
Win	3–1 (1)	Sebastian Rodriguez	Submission (armbar)	SF 10: Mayhem	1	2:35	Oregon , United States
Win	2–1 (1)	Demian Decorah	Submission (armbar)	FCC 19: Freestyle Combat Challenge 19	N/A	N/A	Wisconsin , United States
Loss	1–1 (1)	Assuerio Silva	Submission (guillotine choke)	Jungle Fight 2	2	N/A	Manaus , Brazil
NC	1–0 (1)	Assuerio Silva	No Contest (injury)	Meca 9: Meca World Vale Tudo 9	1	3:23	Rio de Janeiro , Brazil
Win	1–0	Scott Bowman	TKO (punches)	HOOKnSHOOT: Absolute Fighting Championships 3	1	2:35	Florida , United States
