Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1996/1997	Mirzə Orucov	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Alla Vlasyuk Sevinc Akhundova	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
1997/1998	Mirzə Orucov	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Alla Vlasyuk Sevinc Akhundova	Ceyhun Məmmədəliyev Alla Vlasyuk
1998/1999	Mirzə Orucov	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Alla Vlasyuk Sevinc Akhundova	Ceyhun Məmmədəliyev Alla Vlasyuk
1999/2000	Ceyhun Məmmədəliyev	Nərgiz Mehdiyeva	Cavanşir Alizadə Sarvan Nagiev	Alla Vlasyuk Sevinc Akhundova	Ceyhun Məmmədəliyev Alla Vlasyuk
2000/2001	Mirzə Orucov	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Nərgiz Mehdiyeva Natavan Əliyeva	Mirzə Orucov Sevinc Akhundova
2001/2002	Mirzə Orucov	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Alla Vlasyuk Sevinc Akhundova	Mirzə Orucov Sevinc Akhundova
2002/2003	Ceyhun Məmmədəliyev	Nərgiz Mehdiyeva	Mirzə Orucov Ceyhun Məmmədəliyev	Nərgiz Mehdiyeva Natavan Əliyeva	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
2003/2004	Araz Soltanaliyev	Nərgiz Mehdiyeva	Araz Soltanaliyev Sarvan Nagiev	Sevinc Akhundova Alla Vlasyuk	Mirzə Orucov Sevinc Akhundova
2004/2005	Javanshir Alizade	Nərgiz Mehdiyeva	Javanshir Alizade Araz Soltanaliyev	Nərgiz Mehdiyeva Alla Vlasyuk	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
2005/2006	Araz Soltanaliyev	Nərgiz Mehdiyeva	Mirza Orujov Jeyhun Mamedaliyev	Nərgiz Mehdiyeva Alla Vlasyuk	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
2006/2007	Kanan Rzayev	Nərgiz Mehdiyeva	Ceyhun Məmmədəliyev Mirza Orujov	Nərgiz Mehdiyeva Alla Vlasyuk	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
2007/2008	Orkhan Galandarov	Nərgiz Mehdiyeva	Karim Musayev Tural Rasulov	Nərgiz Mehdiyeva Alla Vlasyuk	Ceyhun Məmmədəliyev Nərgiz Mehdiyeva
2008/2009	Kanan Rzayev	Gunay Huseynova	Karim Musayev Tural Rasulov	Gunay Huseynova Alizade Pervin	Tural Rasulov Terane Kerimova
