Pick #	Player	Position	Nationality	NHL team	College/junior/club team
22	Adam Foote	Defence	Canada	Quebec Nordiques	Sault Ste. Marie Greyhounds (OHL)
23	Travis Green	Centre	Canada	New York Islanders	Spokane Chiefs (WHL)
24	Kent Manderville	Left Wing	Canada	Calgary Flames	Notre Dame Hounds (SJHL)
25	Dan Ratushny	Defence	Canada	Winnipeg Jets	Cornell University (NCAA)
26	Jarrod Skalde	Centre	Canada	New Jersey Devils	Oshawa Generals (OHL)
27	Mike Speer	Defence	Canada	Chicago Blackhawks	Guelph Platers (OHL)
28	Mike Craig	Right Wing	Canada	Minnesota North Stars	Oshawa Generals (OHL)
29	Rob Woodward	Left Wing	United States	Vancouver Canucks	Deerfield Academy (USHS-MA)
30	Patrice Brisebois	Defence	Canada	Montreal Canadiens	Laval Titan ( QMJHL )
31	Rick Corriveau	Defence	Canada	St. Louis Blues	London Knights (OHL)
32	Bob Boughner	Defence	Canada	Detroit Red Wings	Sault Ste. Marie Greyhounds (OHL)
33	Greg Johnson	Centre	Canada	Philadelphia Flyers	Thunder Bay Flyers ( USHL )
34	Patrik Juhlin	Left Wing	Sweden	Philadelphia Flyers	Vasteras IK (Sweden)
35	Byron Dafoe	Goaltender	Canada	Washington Capitals	Portland Winter Hawks (WHL)
36	Richard Borgo	Right Wing	Canada	Edmonton Oilers	Kitchener Rangers (OHL)
37	Paul Laus	Defence	Canada	Pittsburgh Penguins	Niagara Falls Thunder (OHL)
38	Mike Parson	Goaltender	Canada	Boston Bruins	Guelph Platers (OHL)
39	Brent Thompson	Defence	Canada	Los Angeles Kings	Medicine Hat Tigers (WHL)
40	Jason Prosofsky	Right Wing	Canada	New York Rangers	Medicine Hat Tigers (WHL)
41	Steve Larouche	Centre	Canada	Montreal Canadiens	Trois-Rivières Draveurs (QMJHL)
42	Ted Drury	Centre	United States	Calgary Flames	Fairfield College Preparatory School (USHS-CT)
