Pianist	Conductor	Record Company	Year of Recording	Format
Heinrich Neuhaus	Nikolai Golovanov	Russian Disc	1946	CD
Solomon Cutner	Issay Dobrowen	EMI	1949	CD
Samuil Feinberg	Alexander Gauk	Brilliant Classics	1950	CD
Roland Pöntinen	Leif Segerstam	BIS Records	1989	CD
Vladimir Ashkenazy	Lorin Maazel	Decca	1990	CD
Aleksey Nasedkin	Evgeny Svetlanov	Melodiya	1990	CD
Gerhard Oppitz	Dmitri Kitaenko	RCA	1993	CD
Nikolai Demidenko	Alexander Lazarev	Hyperion Records	1993	CD
Michael Ponti	Hans Drewanz	Turnabout	1994	CD
Garrick Ohlsson	Libor Pesek	Supraphon	1996	CD
Arkady Sevidov	Konstantin Krimets	Arte Nova	1996	CD
Konstantin Scherbakov	Igor Golovchin	Naxos Records	1996	CD
Eugeni Mikhailov	Vladimir Ponkin	Vista Vera	1996	CD
Anatol Ugorski	Pierre Boulez	Deutsche Grammophon	1999	CD
Roger Woodward	Edo de Waart	ABC Classics	1999	CD
Andrei Korobeinikov	Mikhail Snitko	Olympia Records	2007	CD
