Draw	Artist	Song	Rank	Points	A. Krajka	Gj. Leka	B. Haxhia	D. Tukiqi	R. Magjistari	Gj. Xhuvani	A. Skënderaj
1	Manjola Nallbani	"Kjo botë merr frymë nga dashuria"	7	27	3	4	4	7	8	1	0
2	Produkt 28	"30 sekonda"	15	3	0	0	0	1	1	0	1
3	Eneida Tarifa	"E para letër"	10	11	0	1	0	0	0	7	3
4	Mariza Ikonomi	"Mall i tretur"	9	20	2	3	0	3	3	3	6
5	Greta Koçi	"Natën të kërkova"	5	35	5	5	3	6	4	8	4
6	Flaka Krelani & Doruntina Disha	"Jeta kërkon dashuri"	2	57	12	12	12	12	9	0	0
7	Mira Konçi & Redon Makashi	"Nën një qiell"	6	35	6	6	6	9	6	2	0
8	Kthjellu	"Dhoma"	11	9	0	0	1	0	0	0	8
9	Kozma Dushi	"Tatuazh në kujtesë"	16	1	1	0	0	0	0	0	0
10	Devis Xherahu	"Endacaku"	17	0	0	0	0	0	0	0	0
11	Teuta Kurti	"Qyteti i dashurisë"	14	5	0	0	5	0	0	0	0
12	Samanta Karavello	"Pse u harrua dashuria"	8	23	4	2	2	5	0	5	5
13	Juliana Pasha	"Një qiell të ri"	3	54	9	9	9	4	5	9	9
14	Agim Poshka	"Kujt i them të dua"	12	8	0	0	0	0	2	4	2
15	Jonida Maliqi	"S'ka fajtor në dashuri"	4	36	0	7	7	2	7	6	7
16	Olta Boka	"Zemrën e lamë peng"	1	67	7	8	8	8	12	12	12
17	Rosela Gjylbegu	"Po lind një yll"	13	8	8	0	0	0	0	0	0
