Team	Average	Points	Played	1989-90	1990-91	1991-1992
River Plate	1.342	153	114	53	45	55
Boca Juniors	1.263	144	114	43	51	50
Vélez Sársfield	1.184	135	114	42	45	48
Newell's Old Boys	1.123	128	114	36	48	44
Independiente	1.070	122	114	46	40	36
Racing Club	1.035	118	114	39	40	39
Huracán	1.026	78	76	N/A	40	38
Rosario Central	1.018	116	114	43	39	34
Ferro Carril Oeste	1.000	114	114	39	38	37
San Lorenzo	1.000	114	114	35	45	34
Gimnasia de La Plata	0.991	113	114	39	33	41
Platense	0.991	113	114	36	35	42
Argentinos Juniors	0.956	109	114	38	36	35
Deportivo Mandiyú	0.939	107	114	36	38	33
Belgrano de Córdoba	0.921	35	38	N/A	N/A	35
Deportivo Español	0.912	104	114	31	28	45
Estudiantes de La Plata	0.895	102	114	34	39	29
Talleres de Córdoba	0.895	102	114	36	29	37
Unión de Santa Fe	0.825	94	114	36	31	27
