Athlete	Country	Run 1	Run 2	Run 3
Martins Dukurs	Latvia	53.77	54.37	54.34
Frank Rommel	Germany	54.00	54.83	55.21
Ben Sandford	New Zealand	54.31	55.20	54.76
Sergey Chudinov	Russia	54.37	55.20	55.01
Tomass Dukurs	Latvia	54.13	55.31	55.19
Matthew Antoine	United States	54.28	55.04	55.00
Alexander Gassner	Germany	54.70	55.23	55.25
John Daly	United States	54.66	55.24	54.89
Alexander Kröckel	Germany	54.60	55.22	55.54
John Fairbairn	Canada	54.45	55.36	55.39
Michael Douglas	Canada	54.78	55.31	55.43
Alexander Tretiakov	Russia	55.29	55.40	55.04
Eric Neilson	Canada	54.95	55.51	55.97
Kristan Bromley	United Kingdom	54.44	55.66	55.51
Ed Smith	United Kingdom	54.96	55.40	55.50
Anton Batuev	Russia	55.31	55.57	55.44
Adam Pengilly	United Kingdom	54.45	55.85	55.47
Matthias Guggenberger	Austria	54.86	55.57	55.87
Maurizio Oioli	Italy	55.37	55.66	55.95
Hiroatsu Takahashi	Japan	55.62	55.44	55.87
Shinsuke Tayama	Japan	55.39	56.23	56.02
Axel Jungk	Germany	55.83	56.42	55.91
Lukas Kummer	Switzerland	55.66	56.19	56.37
Michael Höfer	Switzerland	55.69	56.42	56.11
Ander Mirambell	Spain	55.74	56.32	56.56
Raphael Maier	Austria	55.59	56.83	56.32
Silviu Alexandru Mesarosi	Romania	56.73	57.13	56.27
Alexandros Kefalas	Greece	56.11	57.04	57.35
Bradley Chalupski	Israel	56.57	58.20	57.18
Urs Vescoli	Australia	57.19	57.78	57.77
Kim Tae-Rae	South Korea	59.55	58.54	58.18
