Perpetrator	Year	Location	Country	Killed
Unek, William	1954 1957	Mahagi Malampaka	Belgian Congo Tanganyika	21 36
Komakech, Richard	1994	Kampala	Uganda	26
Unknown	1994	Ta'izz	Yemen	22
Unknown Police Officer	1983	Asureti	Uganda	21
Omar Abdul Razeq Abdullah Rifai , 28	2013	Meet al-Attar	Egypt	15
Kz	1959.9	Bz	Kz	100.9
Unknown Soldier	1995	Nshili	Rwanda	14–17
Two Unknown Men	1936	Aksum	Turkey	14
Khumalo, Banda, 38	1977	Bulawayo	Rhodesia	13
Ogwang, Alfred , 28	1994	Kamwenge	Uganda	13
Fekadu Nasha	2013	Bahir Dar	Ethiopia	12–18
Oz	1994.9	Kz	Tz	100.9
Mogo	1929	Kitale	Kenya	12
Obwara, Lazaro , 55	1950	Kampala	Uganda	12
Ben Jebir, 28	1985	Fahs	Tunisia	12
Vukwana, Bulelani , 29	2002	East London	South Africa	11
Abdullah Saleh Zaid al-Kohali, 26	2008	Bait al-Aqari	Yemen	10
