Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1956 (29th)	The Staffan Stolle Story	Ratataa	Hasse Ekman Category:Articles with hCards	Not Nominated
1957 (30th)	The Seventh Seal	Det sjunde inseglet	Ingmar Bergman Category:Articles with hCards	Not Nominated
1958 (31st)	The Magician	Ansiktet	Ingmar Bergman Category:Articles with hCards	Not Nominated
1960 (33rd)	The Virgin Spring	Jungfrukällan	Ingmar Bergman Category:Articles with hCards	Won Academy Award
1961 (34th)	Through a Glass Darkly	Såsom i en spegel	Ingmar Bergman Category:Articles with hCards	Won Academy Award
1962 (35th)	The Mistress	Älskarinnan	Vilgot Sjöman Category:Articles with hCards	Not Nominated
1963 (36th)	The Silence	Tystnaden	Ingmar Bergman Category:Articles with hCards	Not Nominated
1964 (37th)	Raven's End	Kvarteret Korpen	Bo Widerberg Category:Articles with hCards	Nominee
1965 (38th)	Dear John	Käre John	Lars-Magnus Lindgren Category:Articles with hCards	Nominee
1966 (39th)	Persona	Persona	Ingmar Bergman Category:Articles with hCards	Not Nominated
1967 (40th)	Here's Your Life	Här har du ditt liv	Jan Troell Category:Articles with hCards	Not Nominated
1968 (41st)	Shame	Skammen	Ingmar Bergman Category:Articles with hCards	Not Nominated
1969 (42nd)	Ådalen 31	Ådalen 31	Bo Widerberg Category:Articles with hCards	Nominee
1970 (43rd)	A Swedish Love Story	En kärlekshistoria	Roy Andersson Category:Articles with hCards	Not Nominated
1971 (44th)	The Emigrants	Utvandrarna	Jan Troell Category:Articles with hCards	Nominee
1972 (45th)	The New Land	Nybyggarna	Jan Troell Category:Articles with hCards	Nominee
1976 (49th)	City of My Dreams	Mina drömmars stad	Ingvar Skogsberg Category:Articles with hCards	Not Nominated
1977 (50th)	The Man on the Roof	Mannen på taket	Bo Widerberg Category:Articles with hCards	Not Nominated
1979 (52nd)	A Respectable Life	Ett anständigt liv	Stefan Jarl Category:Articles with hCards	Not Nominated
1980 (53rd)	Herr Puntila and His Servant Matti	Herr Puntila och hans dräng Matti	Ralf Långbacka Category:Articles with hCards	Not Nominated
1981 (54th)	Children's Island	Barnens ö	Kay Pollak Category:Articles with hCards	Not Nominated
1982 (55th)	Flight of the Eagle	Ingenjör Andrées luftfärd	Jan Troell Category:Articles with hCards	Nominee
1983 (56th)	Fanny and Alexander	Fanny och Alexander	Ingmar Bergman Category:Articles with hCards	Won Academy Award
1984 (57th)	Åke and His World	Åke och hans värld	Allan Edwall Category:Articles with hCards	Not Nominated
1985 (58th)	Ronia, The Robber's Daughter	Ronja Rövardotter	Tage Danielsson Category:Articles with hCards	Not Nominated
1986 (59th)	The Sacrifice	Offret	Andrei Tarkovsky Category:Articles with hCards	Not Nominated
1987 (60th)	Hip Hip Hurrah!	Hip Hip Hurra!	Kjell Grede Category:Articles with hCards	Not Nominated
1989 (62nd)	Women on the Roof	Kvinnorna på taket	Carl-Gustav Nykvist Category:Articles with hCards	Not Nominated
1990 (63rd)	Good Evening, Mr. Wallenberg	God afton, Herr Wallenberg	Kjell Grede Category:Articles with hCards	Not Nominated
1991 (64th)	The Ox	Oxen	Sven Nykvist Category:Articles with hCards	Nominee
1992 (65h)	House of Angels	Änglagård	Colin Nutley Category:Articles with hCards	Not Nominated
1993 (66th)	The Slingshot	Kådisbellan	Åke Sandgren Category:Articles with hCards	Not Nominated
1994 (67th)	The Last Dance	Sista dansen	Colin Nutley Category:Articles with hCards	Not Nominated
1995 (68th)	All Things Fair	Lust och fägring stor	Bo Widerberg Category:Articles with hCards	Nominee
1996 (69th)	Jerusalem	Jerusalem	Bille August Category:Articles with hCards	Not Nominated
1997 (70th)	Tic Tac	Tic Tac	Daniel Alfredson Category:Articles with hCards	Not Nominated
1998 (71st)	Show Me Love	Fucking Åmål	Lukas Moodysson Category:Articles with hCards	Not Nominated
1999 (72nd)	Under the Sun	Under solen	Colin Nutley Category:Articles with hCards	Nominee
2000 (73rd)	Songs from the Second Floor	Sånger från andra våningen	Roy Andersson Category:Articles with hCards	Not Nominated
2001 (74th)	Jalla! Jalla!	Jalla! Jalla!	Josef Fares Category:Articles with hCards	Not Nominated
2002 (75th)	Lilya 4-ever	Lilja 4-ever	Lukas Moodysson Category:Articles with hCards	Not Nominated
2003 (76th)	Evil	Ondskan	Mikael Håfström Category:Articles with hCards	Nominee
2004 (77th)	As It Is in Heaven	Så som i himmelen	Kay Pollak Category:Articles with hCards	Nominee
2005 (78th)	Zozo	Zozo	Josef Fares Category:Articles with hCards	Not Nominated
2006 (79th)	Falkenberg Farewell	Farväl Falkenberg	Jesper Ganslandt Category:Articles with hCards	Not Nominated
2007 (80th)	You, the Living	Du levande	Roy Andersson Category:Articles with hCards	Not Nominated
2008 (81st)	Everlasting Moments	Maria Larssons eviga ögonblick	Jan Troell Category:Articles with hCards	Made January Shortlist
2009 (82nd)	Involuntary	De ofrivilliga	Ruben Östlund Category:Articles with hCards	Not Nominated
2010 (83rd)	Simple Simon	I rymden finns inga känslor	Andreas Öhman Category:Articles with hCards	Made January Shortlist
2011 (84th)	Beyond	Svinalängorna	Pernilla August Category:Articles with hCards	Not Nominated
2012 (85th)	The Hypnotist	Hypnotisören	Lasse Hallström Category:Articles with hCards	Not Nominated
