Name	Country	Type	Moving from	Transfer window	Ends	Transfer fee	Source
Codina	ESP	Promoted	Youth system	Summer	2010	Youth system	Realmadrid
Torres	ESP	Promoted	Youth system	Summer	2012	Youth system	Realmadrid
Agus	ESP	Promoted	Youth system	Summer	2010	Youth system	Realmadrid
Granero	ESP	Promoted	Youth system	Summer	2011	Youth system	Realmadrid
de la Red	ESP	Promoted	Youth system	Summer	2011	Youth system	Realmadrid
Adrián	ESP	Promoted	Youth system	Summer	2011	Youth system	Realmadrid
Soldado	ESP	Loan return	Osasuna	Summer	2012	N/A	Realmadrid
Baptista	BRA	Loan return	Arsenal	Summer	2010	N/A	Realmadrid
Balboa	EQG	Loan Return	RacingSantander	Summer	2012	N/A	Realmadrid
Robben	NED	Signed	Chelsea	Summer	2012	€ 36M	Realmadrid
Pepe	POR	Signed	Porto	Summer	2012	€ 30M	Realmadrid
Sneijder	NED	Signed	Ajax	Summer	2012	€ 27M	Realmadrid
Drenthe	NED	Signed	Feyenoord	Summer	2012	€ 14M	Realmadrid
Heinze	ARG	Signed	Manchester United	Summer	2011	€ 12M	Realmadrid
Saviola	ARG	Signed	Barcelona	Summer	2011	Free	Realmadrid
Metzelder	GER	Signed	Borussia Dortmund	Summer	2010	Free	Realmadrid
Dudek	POL	Signed	Liverpool	Summer	2009	Free	Realmadrid
Adrián	ESP	Loan Return	Celta de Vigo	Winter	2011	N/A	Realmadrid
