Name	Championship	League Cup	FA Cup	Total
Kevin Kyle Category:Articles with hCards	11	0	1	12
Robert Page Category:Articles with hCards	10	0	0	10
Michael Doyle Category:Articles with hCards	8	0	2	10
Andrew Whing Category:Articles with hCards	6	1	0	7
David McNamee Category:Articles with hCards	6	0	0	6
Marcus Hall Category:Articles with hCards	5	0	0	5
Leon McKenzie Category:Articles with hCards	5	0	0	5
Jay Tabb Category:Articles with hCards	5	0	0	5
Elliott Ward Category:Articles with hCards	5	0	0	5
Richard Duffy Category:Articles with hCards	4	0	0	4
Stephen Hughes Category:Articles with hCards	3	1	0	3
Dele Adebola Category:Articles with hCards	3	0	0	3
Isaac Osbourne Category:Articles with hCards	3	0	0	3
Kevin Thornton Category:Articles with hCards	3	0	0	3
Adam Virgo Category:Articles with hCards	2	0	1	3
Colin Cameron Category:Articles with hCards	1	0	0	1
Colin Hawkins Category:Articles with hCards	1	0	0	1
Stern John Category:Articles with hCards	1	0	0	1
