Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Porth Harlequins RFC	20	17	0	3	642	173	100	19	12	2	82
St. Joseph's RFC	20	17	0	3	503	179	69	17	9	3	80
Pontyclun RFC	20	14	1	5	468	218	66	24	7	2	67
Deri RFC	20	14	0	6	476	285	65	33	7	3	66
St. Albans RFC	20	11	0	9	402	423	58	61	7	1	52
Cowbridge RFC	20	8	0	12	329	379	37	54	3	7	42
Old Penarthians RFC	20	9	0	11	231	369	29	53	2	3	41
Penygraig RFC	20	6	1	13	260	436	30	63	2	5	33
Ogmore Vale RFC	20	6	0	14	208	475	27	71	2	3	29
Canton RFC	20	4	0	16	248	499	34	67	3	6	25
Dinas Powys RFC	20	3	0	17	161	492	20	73	1	1	14
