Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	18	32:04.428	1
Troy Bayliss	Ducati 999 F07	18	+8.403	2
Max Biaggi	Suzuki GSX-R1000 K7	18	+9.703	3
James Toseland	Honda CBR1000RR	18	+13.587	5
Troy Corser	Yamaha YZF-R1	18	+14.898	4
Yukio Kagayama	Suzuki GSX-R1000 K7	18	+14.954	8
Lorenzo Lanzi	Ducati 999 F07	18	+19.517	12
Michel Fabrizio	Honda CBR1000RR	18	+24.120	9
Karl Muggeridge	Honda CBR1000RR	18	+24.682	6
Max Neukirchner	Suzuki GSX-R1000 K6	18	+29.197	14
Josh Brookes	Honda CBR1000RR	18	+32.654	11
Ruben Xaus	Ducati 999 F06	18	+34.054	15
Marco Borciani	Ducati 999 F06	18	+37.386	16
Alex Polita	Suzuki GSX-R1000 K6	18	+37.704	20
Jakub Smrž	Ducati 999 F05	18	+41.377	17
Steve Martin	Honda CBR1000RR	18	+42.730	18
Mauro Sanchini	Kawasaki ZX-10R	18	+59.096	19
Roberto Rolfo	Honda CBR1000RR	17	Retirement	10
Régis Laconi	Kawasaki ZX-10R	15	Retirement	7
Luca Morelli	Ducati 999RS	12	Retirement	22
Robertino Pietri	Yamaha YZF-R1	12	Retirement	23
Marek Svoboda	Yamaha YZF-R1	11	Retirement	24
Dean Ellison	Ducati 999RS	8	Retirement	21
Fonsi Nieto	Kawasaki ZX-10R	7	Retirement	13
