Round	Circuit	Date	Pole Position	Fastest Lap	Winning Rider	Winning Team
1	Brands Hatch Indy	April 5	Billy McConnell	Sam Lowes	Sam Lowes	GNS Racing
2	Thruxton	April 18	Billy McConnell	Sam Lowes	James Westmoreland	CAME Yamaha
3	Oulton Park	May 3	Billy McConnell	Ian Hutchinson	Ben Wilson	Gearlink Kawasaki
4	Cadwell Park	May 23	Billy McConnell	Billy McConnell	Billy McConnell	CAME Yamaha
5	Mallory Park	June 27	Billy McConnell	James Westmoreland	Billy McConnell	CAME Yamaha
6	Knockhill	July 4	James Westmoreland	Sam Lowes	Sam Lowes	GNS Racing
7	Snetterton	July 18	James Westmoreland	Ben Wilson	Graeme Gowland	PTR Honda
8	Brands Hatch GP	August 8	James Westmoreland	James Westmoreland	James Westmoreland	CAME Yamaha
9	Cadwell Park	August 30	Sam Lowes	Billy McConnell	Sam Lowes	GNS Racing
10	Croft	September 12	Sam Lowes	Alex Lowes	Sam Lowes	GNS Racing
11	Silverstone Arena GP	September 26	Sam Lowes	Sam Lowes	Sam Lowes	GNS Racing
