Week	Date	Opponent	Result	Attendance
1	September 5, 1993	Cincinnati Bengals	W 27–14	75,508
2	September 12, 1993	San Francisco 49ers	W 23–13	78,218
3	September 19, 1993	at Los Angeles Raiders	W 19–16	48,617
4	September 26, 1993	at Indianapolis Colts	L 23–10	59,654
5	October 10, 1993	Miami Dolphins	L 24–14	78,138
6	October 17, 1993	at Cincinnati Bengals	W 28–17	55,647
7	October 24, 1993	Pittsburgh Steelers	W 28–23	78,118
8	November 7, 1993	Denver Broncos	L 29–14	77,818
9	November 14, 1993	at Seattle Seahawks	L 22–5	54,622
10	November 21, 1993	Houston Oilers	L 27–20	71,668
11	November 28, 1993	at Atlanta Falcons	L 17–14	54,510
12	December 5, 1993	New Orleans Saints	W 17–13	60,388
13	December 12, 1993	at Houston Oilers	L 19–17	58,720
14	December 19, 1993	New England Patriots	L 20–17	48,618
15	December 26, 1993	at Los Angeles Rams	W 42–14	34,155
16	January 2, 1994	at Pittsburgh Steelers	L 16–9	49,208
