Game	Date	Opponent	Score	Location/attendance	Record
10	2	Chicago Black Hawks	1-3	Los Angeles	4-4-2
11	4	Minnesota North Stars	2-2	Minnesota	4-4-3
12	5	Detroit Red Wings	6-4	Detroit	5-4-3
13	7	Oakland Seals	5-4	Los Angeles	6-4-3
14	9	Toronto Maple Leafs	4-1	Los Angeles	7-4-3
15	15	Oakland Seals	1-4	Oakland	7-5-3
16	17	Detroit Red Wings	1-4	Los Angeles	7-6-3
17	19	Montreal Canadiens	4-2	Los Angeles	8-6-3
18	22	Oakland Seals	3-1	Los Angeles	9-6-3
19	24	Pittsburgh Penguins	5-3	Los Angeles	10-6-3
20	26	Philadelphia Flyers	2-7	Philadelphia	10-7-3
21	29	St. Louis Blues	2-3	St. Louis	10-8-3
