Institution	Location	Founded	Affiliation	Enrollment	Team Nickname	Primary conference
Baylor University	Waco, Texas	1845	Private , Baptist	14769	Bears	Big 12 ( Division I )
University of Louisiana at Lafayette	Lafayette, Louisiana	1898	Public	16361	Ragin' Cajuns	Sunbelt ( Division I )
Louisiana State University	Baton Rouge, Louisiana	1860	Public	25215	Tigers	SEC ( Division I )
University of North Texas	Denton, Texas	1890	Public	36206	Mean Green	C-USA ( Division I )
University of Oklahoma	Norman, Oklahoma	1890	Public	29931	Sooners	Big 12 ( Division I )
Rice University	Houston, Texas	1891	Private/ Non-sectarian	6799	Owls	C-USA ( Division I )
Southern Methodist University	University Park, Texas	1911	Private/ Methodist	10693	Mustangs	American ( Division I )
Texas A&M University	College Station, Texas	1871	Public	48702	Aggies	SEC ( Division I )
Texas Christian University	Fort Worth, Texas	1873	Private/ Disciples of Christ	8696	Horned Frogs	Big 12 ( Division I )
Texas State University–San Marcos	San Marcos, Texas	1899	Public	32586	Bobcats	Sunbelt ( Division I )
Texas Tech University	Lubbock, Texas	1923	Public	30049	Red Raiders	Big 12 ( Division I )
University of Texas at Austin	Austin, Texas	1883	Public	50995	Longhorns	Big 12 ( Division I )
