Rank	Player	Club(s)	Year(s)	U-16 Caps
1	Ángel Cuéllar	Betis	1987–1989	26
2	Julio Iglesias	Barcelona	1987–1989	21
2	Álvaro Pérez	Athletic Bilbao	1990–1992	21
4	Curro Montoya	Hércules , Valencia	1992–1993	20
4	Diego Ribera	Valencia	1992–1993	20
6	Iker Casillas	Real Madrid	1996–1998	19
6	Enrique Medina	Manises, Valencia	1990–1991	19
6	Francisco Rufete	Atlético Benejúzar, Barcelona	1992–1993	19
6	Carlos Sierra 'Sandro'	Tenerife , Real Madrid	1990–1991	19
10	Carlos Castro	Sevilla	1990–1991	18
10	Juan Carlos Gutiérrez	La Cruz Villanovense, Barcelona	1990–1991	18
10	Jero Miñarro	Lorca , Valencia	1992–1994	18
10	Líbero Parri	Valencia	1998–1999	18
10	Iván Pérez	Real Madrid	1991–1992	18
