State	Type	Name	Title	Royal house	From
Cai	Sovereign	Zhao	Marquis	Ji	518 BC
Cao	Sovereign	Cao Bo Yang	Duke	—	501 BC
Chen	Sovereign	Min	Duke	—	501 BC
Chu	Sovereign	Zhao	King	Mi	515 BC
Jin	Sovereign	Ding	Duke	Ji	511 BC
Lu	Sovereign	Ding	Duke	Ji	509 BC
Qi	Sovereign	Jing	Duke	Jiang	547 BC
Qi (Henan)	Sovereign	Li	Duke	—	505 BC
Qin	Sovereign	Hui I	Duke	Ying	500 BC
Song	Sovereign	Jing	Duke	—	516 BC
Teng	Sovereign	Qing	Duke	—	512 BC
Wey	Sovereign	Ling	Duke	—	534 BC
Wu	Sovereign	Helü	King	Zhou	514 BC
Yan	Sovereign	Jian I	Duke	—	504 BC
Yue	Sovereign	Yun Chang	Marquis	—	538 BC
Zheng	Sovereign	Sheng	Duke	—	500 BC
