Class	Number(s)	Quantity	Year(s) of Manufacture	Type
A I	names	24	1844–1845	1A1 n2
A I	DER MÜNCHNER	1	1841	1A1 n2
A II	names	13	1847–1848	1A1 n2
A III	names	4	1851–1852	1A1 n2
A IV	names	8	1852–1853	1A1 n2
A V	names	24	1853–1855	1A1 n2
B I	names	22	1847–1850	1B n2
B I	names	(11)	(1859–1876)	1B n2
B II	names	14	1851–1852	1B n2
B III	names	18	1852–1855	1B n2
B IV	names	10	1852–1853	1B n2
B V	names	94	1853–1863	1B n2
B V (Stütztender)	PHÖNIX	1	1857	B3′ n2
C I	names	5	1847–1850	C n2
C I	names	(13)	(1869–1877)	C n2
C II.1	HERCULES	1	1857	C2′ n2
C II.1	names	4	1858	C3′ n2
