Nation	Rider	Horse	Cross Country Penalties	Total Penalties	Total Team Penalties	Team Rank
Germany	Peter Thomsen	The Ghost Of Hamish	25.60	98.90	158.10	1
Germany	Frank Ostholt	Mr. Medicott	13.20	57.80	158.10	1
Germany	Hinrich Romeike	Marius	12.80	50.20	158.10	1
Germany	Ingrid Klimke	Butts Abraxxas	17.20	50.70	158.10	1
Germany	Andreas Dibowski	Butts Leon	17.60	57.20	158.10	1
Australia	Clayton Fredericks	Ben Along Time	16.40	53.40	162.00	2
Australia	Lucinda Fredericks	Headley Britannia	27.20	57.60	162.00	2
Australia	Megan Jones	Irish Jester	15.60	51.00	162.00	2
Australia	Sonja Johnson	Ringwould Jaguar	13.60	58.80	162.00	2
Australia	Shane Rose	All Luck	9.20	62.50	162.00	2
Great Britain	Daisy Dick	Spring Along	17.20	68.90	173.70	3
Great Britain	William Fox-Pitt	Parkmore Ed	10.00	60.20	173.70	3
Great Britain	Kristina Cook	Miners Frolic	17.20	57.40	173.70	3
Great Britain	Sharon Hunt	Tankers Town	27.60	91.10	173.70	3
Great Britain	Mary King	Call Again Cavalier	18.00	56.10	173.70	3
Italy	Vittoria Panizzon	Rock Model	18.40	69.00	198.40	4
Italy	Stefano Brecciaroli	Cappa Hill	42.00	112.00	198.40	4
Italy	Fabio Magni	Southern King V	50.00	119.60	198.40	4
Italy	Susanna Bordone	Ava	28.80	66.60	198.40	4
Italy	Roberto Rotatori	Irham De Viages	22.80	62.80	198.40	4
Sweden	Katrin Norling	Pandora	16.00	68.00	200.50	5
Sweden	Linda Algotsson	Stand By Me	22.80	64.30	200.50	5
Sweden	Viktoria Carlerbäck	Bally's Geronimo	26.40	72.90	200.50	5
Sweden	Magnus Gällerdal	Keymaster	13.60	68.20	200.50	5
Sweden	Dag Albert	Tubber Rebel	27.60	93.20 #	200.50	5
New Zealand	Mark Todd	Gandalf	27.20	76.60	210.90	6
New Zealand	Heelan Tompkins	Sugoi	35.20	130.80	210.90	6
New Zealand	Andrew Nicholson	Lord Killinghurst	Eliminated	1000.00	210.90	6
New Zealand	Joe Meyer	Snip	21.20	65.10	210.90	6
New Zealand	Caroline Powell	Lenamore	21.20	69.20	210.90	6
United States	Amy Tryon	Poggio II	Eliminated	1000.00	234.00	7
United States	Gina Miles	Mckinlaigh	16.80	56.10	234.00	7
United States	Rebecca Holder	Courageous Comet	22.00	117.70	234.00	7
United States	Karen O'Connor	Mandiba	44.80	126.70	234.00	7
United States	Phillip Dutton	Connaught	19.60	60.20	234.00	7
Ireland	Austin O'Connor	Hobby Du Mee	34.40	87.20	265.10	8
Ireland	Geoffrey Curran	Kilkishen	30.40	87.20	265.10	8
Ireland	Louise Lyons	Watership Down	28.40	85.80	265.10	8
Ireland	Patricia Ryan	Fernhill Clover Mist	34.80	113.50	265.10	8
Ireland	Niall Griffin	Lorgaine	26.40	97.00	265.10	8
Canada	Kyle Carter	Madison Park	18.40	81.90	287.00	9
Canada	Sandra Donnelly	Buenos Aries	24.00	84.20	287.00	9
Canada	Selena O'Hanlon	Colombo	36.80	120.90	287.00	9
Canada	Samantha Taylor	Livewire	69.60	180.30	287.00	9
Canada	Mike Winter	King Pin	56.80	125.70	287.00	9
Brazil	Marcelo Tosi	Super Rocky	24.80	89.60	295.10	10
Brazil	Jeferson Moreira	Escudiero	50.80	106.70	295.10	10
Brazil	Saulo Tristao	Totsie	Eliminated	1000.00	295.10	10
Brazil	Andre Paro	Land Heir	39.20	98.80	295.10	10
France	Didier Dhennin	Ismene Du Temple	14.00	56.80	1135.80	11
France	Nicolas Touzaint	Galan De Sauvagere	Withdrew	1000.00	1135.80	11
France	Eric Vigeanel	Coronado Prior	26.00	79.00	1135.80	11
