Name	Period	League	FA Cup	League Cup	Other	Total	Apps	Goal Ratio
Arthur Chandler	1923–1935	259	14	0	0	273	419	0.65
Arthur Rowley	1950–1958	251	14	0	0	265	321	0.83
Ernie Hine	1926–1932	148	8	0	0	156	259	0.60
Derek Hines	1948–1961	116	1	0	0	117	317	0.37
Arthur Lochhead	1925–1934	106	8	0	0	114	320	0.36
Gary Lineker	1978–1985	95	6	2	0	103	209	0.49
Mike Stringfellow	1962–1975	82	7	8	0	97	344	0.28
Johnny Duncan	1922–1930	88	7	0	0	95	295	0.32
Jimmy Walsh	1956–1964	79	5	5	2	91	199	0.46
Jack Lee	1941–1950	74	10	0	0	84	137	0.61
Alan Smith	1982–1987	76	4	4	0	84	217	0.39
Frank Worthington	1972–1977	72	4	2	0	78	239	0.33
Mal Griffiths	1939–1956	66	10	0	0	76	409	0.19
Ken Keyworth	1958–1964	62	7	4	3	76	215	0.35
Danny Liddle	1932–1946	64	7	0	0	71	274	0.26
Arthur Maw	1932–1939	58	6	0	0	64	189	0.34
Matty Fryatt	2006–2011	51	5	4	2	62	189	0.33
Steve Walsh	1986–2000	53	1	4	4	62	450	0.14
Steve Lynex	1981–1987	57	1	2	0	60	240	0.25
Fred Shinton	1907–1911	55	3	0	0	58	101	0.57
