Region	Date	Label	Format	Catalog
Netherlands	6 April 2007	Magik Muzik	CD , Album	Magik Muzik CD 07
Netherlands	6 April 2007	Magik Muzik	CD , Album	Magik Muzik CD 07S
Netherlands	6 April 2007	Magik Muzik	CD , Limited Edition , Bonus Disc	Magik Muzik CD 07/2
Netherlands	19 June 2007	Magik Muzik	4 x vinyl , LP , Limited Edition , Album	Magik Muzik LP 07
Netherlands	2007	Magik Muzik	CD , Limited Edition Album	CD 07RBK
Japan	28 March 2007	Magik Muzik	CD , Album	Magik Muzik CD 07
Japan	28 March 2007	Superb Trax	2 x CD	AVCD-23213-4
Japan	28 March 2007	Avex Taiwan Inc.	CD , Album , DVD , NTSC , Bonus Disc	AVICD60439DB
Russia	2007	Dance Planet Ltd.	CD , Album	DP068-07
Germany	6 April 2007	Kontor Records	CD , Album	0180732KON
United Kingdom	16 April 2007	Nebula Records	CD , Album	NEBCD9015
United Kingdom	May 2007	Nebula Records	2 x vinyl , 12" , Sampler	NEBT9015
United Kingdom	May 2007	Nebula Records	2 x vinyl , 12" , Sampler	NEBTX9015
Norway	2007	DJ Beat Records Scandinavia	CD , Album	DJB077CD
Lithuania	15 May 2007	Bomba Records (Lithuania)	CD , Album	BBCD225
United States	April 10, 2007	Ultra Records	CD , Album	UL 1515-2
Romania	10 April 2007	NRG!A	CD , Album	4088-2
Romania	10 April 2007	Roton	CD , Album	4088-2
