Week	Date	Opponent	Result	Attendance
1	August 31, 1997	at St. Louis Rams	L 38-24	64,575
2	September 7, 1997	San Diego Chargers	L 20-6	65,760
3	September 14, 1997	at San Francisco 49ers	L 33-7	61,838
4	September 21, 1997	Detroit Lions	W 35-17	50,016
5	September 28, 1997	at New York Giants	L 14-9	68,891
6	October 5, 1997	at Chicago Bears	W 20-17	58,865
7	October 12, 1997	Atlanta Falcons	L 23-17	65,619
8	October 19, 1997	Carolina Panthers	L 13-0	50,963
9	October 26, 1997	San Francisco 49ers	L 23-0	60,443
10	Bye	Bye	Bye	Bye
11	November 9, 1997	at Oakland Raiders	W 13-10	40,091
12	November 16, 1997	Seattle Seahawks	W 20-17	50,493
13	November 23, 1997	at Atlanta Falcons	L 20-3	48,620
14	November 30, 1997	at Carolina Panthers	W 16-13	57,957
15	December 7, 1997	St. Louis Rams	L 34-27	54,803
16	December 14, 1997	Arizona Cardinals	W 27-10	45,517
17	December 21, 1997	at Kansas City Chiefs	L 25-13	66,772
