Year	Edition	Round	Date	Location	Surface	Against	Opponent(s)	Score	Result
2007	Group I E/A	RR	19 April	Plovdiv	Clay	Estonia	Anett Kaasik Margit Rüütel	1–6, 6–1, 6–4	3–0
2007	Group I E/A	PPO	21 April	Plovdiv	Clay	Switzerland	Patty Schnyder	3–6, 6–3, 2–6	0–2
2008	Group I E/A	RR	31 January	Budapest	Carpet	Belarus	Ima Bohush Tatiana Poutchek	1–6, 3–6	0–3
2008	Group I E/A	RR	1 February	Budapest	Carpet	Georgia	Ekaterine Gorgodze	6–7 (3–7) , 7–6 (7–5) , 7–5	2–0
2010	Group I E/A	RR	February 3	Lisbon	Hard	Israël	Shahar Pe'er	1–6, 4–6	2–1
2010	Group I E/A	RR	February 3	Lisbon	Hard	Israël	Julia Glushko Shahar Pe'er	6–1, 7–6 (9–7)	2–1
2010	Group I E/A	RR	4 February	Lisbon	Hard	Netherlands	Arantxa Rus	6–7 (5–7) , 7–5, 6–2	2–1
2010	Group I E/A	RR	6 February	Lisbon	Hard	Switzerland	Sarah Moundir	6–4, 6–1	3–0
2010	World Group II	PO	24–25 April	Maribor	Clay	Japan	Ayumi Morita	3–6, 6–1, 6–3	4–1
2010	World Group II	PO	24–25 April	Maribor	Clay	Japan	Kimiko Date-Krumm	4–6, 2–6	4–1
2011	World Group II	QF	5–6 February	Maribor	Clay	Germany	Julia Görges	7–5, 6–4	1–4
2011	World Group II	QF	5–6 February	Maribor	Clay	Germany	Andrea Petkovic	1–6, 2–6	1–4
2011	World Group II	QF	5–6 February	Maribor	Clay	Germany	Anna-Lena Grönefeld Tatjana Malek	6–7 (3–7) , 0–0 ret.	1–4
2011	World Group II	PO	16–17 April	Koper	Clay	Canada	Eugenie Bouchard	6–0, 6–4	3–2
2011	World Group II	PO	16–17 April	Koper	Clay	Canada	Rebecca Marino	5–7, 6–2, 8–6	3–2
2011	World Group II	PO	16–17 April	Koper	Clay	Canada	Sharon Fichman Rebecca Marino	7–6 (7–5) , 6–2	3–2
2012	World Group II	QF	4–5 February	Hyōgo	Hard	Japan	Kimiko Date-Krumm	6–-2, 4–6, 2–6	0–5
2012	World Group II	QF	4–5 February	Hyōgo	Hard	Japan	Ayumi Morita	6–3, 6–7 (6–8) , 1–6	0–5
