Year	Class	Team	Points	Rank	Wins
1980	250cc	Yamaha	26	8th	0
1980	350cc	Motul - Yamaha	21	7th	0
1981	350cc	Yamaha	20	8th	0
1982	250cc	Hostettler- Yamaha	17	17th	0
1982	350cc	Hostettler- Yamaha	31	7th	0
1983	250cc	Hostettler- Yamaha	32	9th	0
1984	250cc	Hostettler- Yamaha	60	6th	0
1985	250cc	Parisienne- Honda	25	10th	0
1986	250cc	Parisienne- Honda	32	7th	0
1987	250cc	Parisienne- Honda	50	9th	0
1988	250cc	Parisienne- Honda	166	3rd	2
1989	250cc	Lucky Strike- Honda	187	3rd	1
1990	250cc	Lucky Strike- Honda	86	9th	0
