Week	Date	Opponent	Result	Attendance
1	September 10, 1960	Dallas Texans	W 21–20	17,724
2	September 18, 1960	at Houston Oilers	L 38–28	20,156
3	September 25, 1960	at Dallas Texans	L 17–0	42,000
4	October 2, 1960	at Buffalo Bills	W 24–10	15,821
5	October 8, 1960	Boston Patriots	L 35–0	18,226
6	October 16, 1960	at Denver Broncos	W 23–19	19,141
8	October 28, 1960	at Boston Patriots	W 45–16	13,988
9	November 4, 1960	at New York Titans	W 21–7	19,402
10	November 13, 1960	Houston Oilers	W 24–21	21,805
11	November 20, 1960	Buffalo Bills	L 32–3	16,161
12	November 27, 1960	Oakland Raiders	W 52–28	15,075
13	December 4, 1960	at Oakland Raiders	W 41–17	12,061
14	December 10, 1960	Denver Broncos	W 41–33	9,928
15	December 18, 1960	New York Titans	W 50–43	11,457
