Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
57	March 3	Utah	L 93–108 (OT)	Chauncey Billups (26)	Gary Trent (7)	Oliver Miller (8)	SkyDome 16,448	13-44
58	March 4	@ Cleveland	L 88–122 (OT)	Doug Christie (16)	Marcus Camby , Oliver Miller (5)	Dee Brown , John Wallace (4)	Gund Arena 15,017	13-45
59	March 6	@ Minnesota	L 91–113 (OT)	Chauncey Billups (20)	Marcus Camby (9)	Oliver Miller (4)	Target Center 18,156	13-46
60	March 8	@ Vancouver	L 106–113 (OT)	Dee Brown (21)	Doug Christie (8)	Oliver Miller (8)	General Motors Place 16,098	13-47
61	March 10	@ Seattle	L 93–111 (OT)	John Wallace (25)	John Wallace (9)	Doug Christie , John Wallace (5)	KeyArena 17,072	13-48
62	March 13	@ L.A. Clippers	L 120–152 (OT)	Reggie Slater (20)	Oliver Miller (7)	Oliver Miller (4)	Los Angeles Memorial Sports Arena 6,152	13-49
63	March 15	@ Golden State	W 100–98 (OT)	Doug Christie (24)	Marcus Camby (16)	Oliver Miller (4)	The New Arena in Oakland 13,063	14-49
64	March 17	Atlanta	L 105–117 (OT)	Doug Christie (30)	Oliver Miller (9)	Doug Christie (8)	SkyDome 16,546	14-50
65	March 19	Denver	W 104–103 (OT)	Dee Brown (24)	Doug Christie (9)	Dee Brown , Doug Christie , Oliver Miller (5)	SkyDome 14,274	15-50
66	March 20	@ Detroit	L 99–105 (OT)	Chauncey Billups (22)	Marcus Camby (8)	Doug Christie (7)	The Palace of Auburn Hills 22,076	15-51
67	March 22	Chicago	L 100–102 (OT)	John Wallace (26)	Doug Christie , Tracy McGrady (9)	Tracy McGrady (8)	SkyDome 33,216	15-52
68	March 24	Charlotte	L 89–106 (OT)	Marcus Camby (20)	John Wallace (10)	Chauncey Billups (6)	SkyDome 14,490	15-53
69	March 26	Cleveland	L 96–97 (OT)	Doug Christie (26)	Marcus Camby (13)	Doug Christie (8)	SkyDome 14,120	15-54
70	March 29	Orlando	L 68–95 (OT)	Doug Christie (20)	Oliver Miller (11)	Chauncey Billups (4)	SkyDome 16,876	15-55
