Date	Competition	Winners	Score	Runners-up
13/3/1903	Irish Cup	Distillery	1–1	Bohemians
28/04/1906	Irish Cup	Shelbourne F.C.	2–0	Belfast Celtic
20/04/1907	Irish Cup	Cliftonville F.C.	1 – 0	Shelbourne F.C.
21/03/1908	Irish Cup	Bohemians	1 – 1	Shelbourne F.C.
28/03/1908	Irish Cup (Replay)	Bohemians	3 – 1	Shelbourne F.C.
10/04/1909	Irish Cup	Cliftonville F.C.	2 – 1	Bohemians
25/03/1911	Irish Cup	Shelbourne F.C.	0 – 0	Bohemians
15/04/1911	Irish Cup (Replay)	Shelbourne F.C.	2 – 1	Bohemians
17/03/1922	Irish Free State Cup Final	St James's Gate F.C.	1–1	Shamrock Rovers F.C.
8/04/1922	Irish Free State Cup Final Replay	St James's Gate	1–0	Shamrock Rovers
17/03/1923	Irish Free State Cup Final	Alton United F.C.	1 – 0	Shelbourne F.C.
17/03/1924	Irish Free State Cup Final	Athlone Town A.F.C.	1 – 0	Fordsons F.C.
17/03/1925	Irish Free State Cup Final	Shamrock Rovers F.C.	1 – 0	Shelbourne F.C.
22/05/1968	Blaxnit Cup Final (2nd Leg)	Shamrock Rovers F.C.	1-2	Crusaders F.C.
00/00/1969	Blaxnit Cup Final (2nd Leg)	Shamrock Rovers F.C.	2-2	Coleraine F.C.
22/05/1970	Blaxnit Cup Final (2nd Leg)	Sligo Rovers F.C.	1-4	Crusaders F.C.
??/05/1996	FAI Cup (Replay)	Shelbourne F.C.	2 – 1	St Patrick's Athletic F.C.
04/05/1997	FAI Cup	Shelbourne F.C.	2 – 0	Derry City F.C.
10/05/1998	FAI Cup	Cork City F.C.	0 – 0	Shelbourne F.C.
16/05/1998	FAI Cup (Replay)	Cork City F.C.	1 – 0	Shelbourne F.C.
