Place	Player	Country	Score	To par
T1	Jack Nicklaus	United States	71-73=144	E
T1	Bruce Crampton	Australia	74-70=144	E
T1	Kermit Zarley	United States	71-73=144	E
T1	Lanny Wadkins	United States	76-68=144	E
T1	Homero Blancas	United States	74-70=144	E
T1	Cesar Sanudo	United States	72-72=144	E
7	Arnold Palmer	United States	77-68=145	+1
T8	Lee Trevino	United States	74-72=146	+2
T8	Lee Elder	United States	75-71=146	+2
T8	Ralph Johnston	United States	74-72=146	+2
T8	Rod Funseth	United States	73-73=146	+2
T8	Gary Player	South Africa	72-74=146	+2
T8	Chi-Chi Rodríguez	United States	71-75=146	+2
